#{"t_start": 1784562228.6884089, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-102.550328,83,1.670981
-298.335583,93,1.799923
-396.210604,76,1.901745
-375.524131,115,2.06027
-440.48118,101,2.19761
-388.999261,139,2.382138
-139.559334,76,2.487503
-131.302478,85,2.598655
-293.824873,103,2.739812
-161.366528,67,2.83131
-152.532578,95,6.250061
-318.8131,82,6.35742
-56.058725,82,6.469148
-55.211892,116,6.629239
-212.433598,123,6.787746
-370.451579,85,6.903409
-379.329751,156,7.114644
-181.791958,114,7.267531
-342.407349,122,7.436334
-283.929591,93,7.563844
-245.346443,92,12.053993
-75.837301,102,12.19314
8.106811,81,12.303098
-169.138321,185,12.553109
-121.551208,97,12.683592
-126.111951,86,12.799402
-69.060552,71,12.898281
-360.468005,119,13.057899
-161.821041,87,13.172123
-66.130878,88,13.286275
-82.129036,88,15.105147
-64.678332,90,15.22659
-98.539166,101,15.359803
-137.567089,138,15.55272
-108.777035,139,15.745749
-238.660993,150,15.947068
-309.136198,146,16.142978
-98.912639,152,16.351309
-103.964914,106,20.621091
-121.073236,98,20.755272
-70.37131,107,20.905301
-56.658573,76,21.004083
-118.742992,95,21.130181
-184.484817,126,21.300902
-77.959714,94,21.431867
-47.577938,155,21.640946
-187.458168,150,21.839396
-89.870886,139,26.154408
-75.967313,106,26.306433
-51.4647,74,26.40742
-41.716601,72,26.509626
-28.89025,128,26.684938
-146.109375,150,26.887937
-41.782609,78,26.993273
-93.515497,181,27.23314
-131.24233,122,27.399778
-105.510301,140,31.869373
-60.065243,81,31.979605
-24.397624,85,32.093647
-128.269256,180,32.336344
-67.046711,108,32.475294
-103.125097,102,32.613909
-40.369058,159,32.82739
-44.013402,92,32.954982
-65.340198,126,33.119855
-88.635033,135,35.046421
-90.122616,119,35.213993
-77.952042,131,35.393328
-169.377895,511,36.077926
-66.722568,100,36.215319
-48.252314,196,40.194916
13.711182,127,40.37585
-33.744253,118,40.537862
-34.522596,166,40.760264
8.680282,119,40.925786
-34.315069,174,41.171953
-78.341522,100,41.307554
-75.975607,122,45.58572
-50.246171,136,45.774518
-57.39716,141,45.963245
-64.919368,127,46.134882
-11.352856,162,46.358385
-33.522777,137,46.542436
-29.845223,104,46.681446
-11.827846,110,46.824881
-37.890091,167,50.069872
-26.670863,94,50.197837
9.395354,149,50.39592
-13.512473,113,50.547365
-61.465484,104,50.687642
14.154629,1000,56.182771
20.128811,171,56.421587
-2.526307,110,56.572244
-28.737363,158,56.794813
48.299948,128,61.497345
51.874292,115,61.655915
28.213878,113,61.809514
47.576801,128,61.983684
-32.682331,124,62.153131
39.543061,159,62.361827
-53.558742,135,62.542884
-9.631495,136,62.732127
33.981005,125,67.087435
-39.427103,143,67.275482
-41.370768,137,67.454863
-4.971893,150,67.660365
-37.088306,154,67.868483
-19.027444,104,68.014254
64.208325,1000,73.50621
0.292219,1000,79.02688
-102.651791,252,79.371458
33.995771,163,84.22649
-11.841749,1000,89.598288
60.756152,1000,93.183012
50.900421,194,93.443296
81.472611,1000,98.961919
89.280645,1000,105.008225
-82.238599,333,105.460719
19.646617,1000,110.153831
101.541832,1000,116.275717
111.756675,1000,121.27958
138.360792,1000,127.354281
106.787937,1000,132.996618
118.858432,1000,136.674441
93.924068,1000,142.208556
42.4982,225,142.515913
94.379009,1000,146.067182
102.490544,1000,149.133303
130.66538,1000,154.723647
122.436651,1000,160.147827
39.616907,211,160.418034
126.613038,1000,164.128428
125.696601,1000,167.172629
104.110025,1000,172.00337
131.772449,1000,177.169498
14.18724,1000,180.950553
145.024811,1000,186.453732
135.454472,1000,190.943789
-19.645894,357,191.420369
161.528873,1000,194.847078
143.057074,1000,199.223423
100.01945,1000,204.669379
129.365581,1000,210.875636
102.275017,1000,215.061425
133.205214,1000,218.944597
117.016571,1000,224.260712
163.005227,1000,230.391438
132.60769,1000,235.915923
175.138758,562,241.440401
118.511675,1000,246.869331
129.123505,1000,250.599128
142.800067,1000,256.075205
86.016941,1000,259.814736
129.488316,1000,265.190984
166.510173,1000,270.642702
173.130971,1000,275.856275
139.841725,1000,282.031751
181.429482,1000,287.521548
47.356164,232,287.841212
171.900407,1000,293.917694
149.84342,1000,299.378785
176.381292,1000,303.016401
183.714871,1000,308.107325
174.996172,1000,314.023061
122.248573,1000,317.625391
