#{"t_start": 1785488350.2234988, "env_id": "Go2Locomotion-v0"}
r,l,t,episode_vx_rmse,episode_vy_rmse,episode_yaw_rmse,episode_mean_vx,episode_mean_vy,episode_mean_yaw_rate,episode_action_saturation,episode_torque_sq,termination_code
-423.901812,1000,11.796811,0.5009559746173968,0.02118809407876777,0.0790857308427818,-0.0002521098709892868,-2.8986651247798378e-05,-0.00042803993576979684,0.0,167.0973106155865,0.0
-409.798107,1000,15.464253,0.5003464862385616,0.021600245684489986,0.07357620455613473,0.00024950129321015294,0.00023218926633189506,-0.0011391752603985953,0.0,155.12162352783125,0.0
-397.366568,1000,18.988768,0.49637000905405715,0.019554595603603717,0.06779752055661502,0.004073760407442199,-0.00042631397503590466,-0.0007096394784493106,0.0,149.74247548447963,0.0
-179.855568,521,20.844118,0.47925948258722084,0.02038527325560222,0.06524750517704371,0.022967137249693906,-0.001736594928121755,-0.0001175492956734579,0.0004798464491362764,170.73705050861636,1.0
-75.802917,213,21.601405,0.45274487593094315,0.035389518851437554,0.07028536246400562,0.050779986026586406,-0.021095890286774523,0.006890557901206942,0.001956181533646322,198.07177666967792,1.0
-72.39139,203,22.320004,0.45557615378682637,0.05397303432952954,0.07774092989040794,0.047211138829378815,-0.03254166365146012,-0.007437442773377266,0.002873563218390804,181.71228879952955,1.0
-38.371313,136,22.794756,0.42345675390206095,0.02461359812986175,0.07889386748605294,0.08128675678337677,-0.013081969861159292,-0.01270828854529501,0.0036764705882352936,200.23480772304822,1.0
-32.769876,108,23.186894,0.40838059447531405,0.04459543606664869,0.07998427248909146,0.09802873172924075,-0.034840958712803044,-0.020474007607449263,0.006172839506172839,199.38086090313305,1.0
-24.640798,85,23.495461,0.3922572871819979,0.04626238543813972,0.07896721217788197,0.11237487249757058,-0.04310372368029378,0.00601339761642744,0.006862745098039215,197.85427371393592,1.0
-27.719713,99,23.844294,0.39906824928740164,0.021387336371842633,0.07974153112291314,0.10700174169244446,-0.014716578950780206,-0.008276408840659447,0.003367003367003367,194.37558182872894,1.0
-16.519538,81,24.130588,0.37475411451220586,0.013127751916327434,0.09670747003071664,0.13449486173755656,-0.0017376348809546955,-0.03897978813204432,0.008230452674897118,200.1786136653555,1.0
-21.693678,87,24.447011,0.38597823392877084,0.04143519688823995,0.08111323873229614,0.11948474999623995,-0.031683635763044456,-0.029472939516747385,0.009578544061302683,194.83741849484798,1.0
-21.280384,77,24.729776,0.3724621621442376,0.05741772581737161,0.09699282798935328,0.13431378516548895,-0.05108479832817058,-0.00865736265385401,0.010822510822510824,200.9354898611938,1.0
-11.294016,56,24.936033,0.3246569621575092,0.02483179431538,0.08441838861334847,0.18655152056415142,-0.016532272489187146,-0.0153107097324222,0.014880952380952382,188.61833061291148,1.0
-26.774408,100,25.297692,0.400289400584428,0.034942553658902566,0.0798255641091178,0.10583007545585989,-0.02309508684607886,-0.016680044905284266,0.008333333333333333,197.16987976763878,1.0
-25.977041,91,25.614011,0.3973034823038717,0.03314698193260343,0.07428611691813715,0.10809624645246795,-0.028859932358032275,-0.019387843838055765,0.01831501831501831,197.26494676047793,1.0
-14.29553,66,25.85186,0.3569056910042436,0.03272490336418612,0.08930613826943104,0.15072708822024186,-0.02655740812029711,-0.03911637223892107,0.0202020202020202,188.14112273733613,1.0
-12.732294,61,26.072484,0.33668212021205257,0.0254766572583,0.1141503922894779,0.17382334758459983,0.007055426577570165,-0.038191872551468754,0.023224043715846993,197.3968880262829,1.0
-15.838581,57,26.28575,0.33950544193473414,0.09291637871732579,0.08224073565715324,0.1699379161848085,-0.07467294114160132,-0.021511469150843766,0.021929824561403504,189.6458220034602,1.0
-15.507048,69,26.525346,0.3518811366483273,0.01992690863750424,0.07920415378418376,0.15738378478837842,-0.0011941738915891406,-0.0359230494273866,0.02415458937198067,198.0024075171581,1.0
-20.295469,66,26.778154,0.36612376753421566,0.0817938489240613,0.07901508950417448,0.1406916712136359,-0.06807168381752082,-0.029947178434557672,0.02398989898989898,192.0471762247436,1.0
-15.437493,63,26.997999,0.3439433628814825,0.05263525937621611,0.09187859843207509,0.16495413410025067,-0.03755750183239081,-0.05094505962940924,0.02513227513227513,196.65019187649577,1.0
-9.560948,54,27.197053,0.3130987116909191,0.03843501329364504,0.10310019843169277,0.2022750805879085,-0.03316408959805442,-0.046342434649605434,0.02623456790123456,191.00850500568953,1.0
-14.820882,64,27.518101,0.3477832775090269,0.06090487038316367,0.09542794751604726,0.1610050250446558,-0.05077052236852113,-0.0230158524559092,0.03255208333333332,192.8607644643802,1.0
-15.631601,66,27.825887,0.34795921437738675,0.04665265418608211,0.10584537227530534,0.16258312771815175,-0.03819569260084587,-0.044794921574325824,0.03409090909090908,198.52172912667564,1.0
-14.205083,62,28.049899,0.3421785057364456,0.03764657749703336,0.12040176176237907,0.16737425880140103,-0.03185338394129624,-0.061649282514870875,0.036290322580645164,193.70917939213183,1.0
-11.090599,46,28.252299,0.29689882014731445,0.052968607049980874,0.12350683445465556,0.2228088793141971,-0.04505888227141377,-0.08920237561377684,0.03623188405797101,181.55387466449764,1.0
-15.026249,60,28.465619,0.3417970994206634,0.04514224911276497,0.10479630290466044,0.16796721555898886,-0.03620298274120006,-0.05100509343500263,0.0361111111111111,187.7667471463835,1.0
-11.425102,51,28.670455,0.3141381617520999,0.04939941836195032,0.11386541660663359,0.19918534027779783,-0.04227792233196851,-0.04881230924675161,0.0196078431372549,193.1298305050558,1.0
-12.550464,48,28.838611,0.3094435995873078,0.06278305725547167,0.11795477346843321,0.20549290512332596,-0.055328704970532334,-0.05637259274525197,0.04166666666666666,190.76820852677676,1.0
