#{"t_start": 1784573381.9895566, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-290.118999,92,0.888267
-96.32761,169,1.115997
-259.033453,126,1.287594
-61.418458,144,1.482137
-177.985466,101,1.607099
-298.941589,220,1.912693
-135.231288,150,2.111771
-363.33975,184,6.586227
-229.661542,130,6.767183
-488.786879,160,6.984337
-188.185809,185,7.245662
-101.184414,79,7.354112
-164.0362,166,7.586834
-106.481562,83,7.699936
-285.482198,84,9.703077
-416.61226,143,9.894149
-71.282865,90,10.014211
-165.805548,120,10.175565
-207.471645,121,10.342508
-47.241683,124,10.515214
-178.775979,101,10.648495
-80.492828,99,10.77406
-50.28138,137,10.965083
-229.435879,99,15.362139
-139.500506,87,15.479768
-113.394727,88,15.597207
-61.515502,94,15.728875
-63.241055,193,15.999847
-63.588211,120,16.16805
-90.837131,77,16.275693
-225.323981,132,16.452617
-80.061625,134,16.629984
-47.386174,131,21.160304
-68.608527,164,21.38479
-110.494893,124,21.553011
-107.220148,122,21.722955
-70.256346,92,21.849678
-202.746188,154,22.072133
-67.662772,72,22.175079
-275.882789,153,22.383826
-58.543285,102,26.324673
-17.630067,168,26.555362
-45.793807,70,26.652192
-51.212921,142,26.845661
-106.259799,178,27.088667
-63.456185,110,27.231443
-72.97595,221,27.522727
-66.575313,81,27.631743
-39.368978,210,32.441495
-92.41085,105,32.58077
-79.107363,138,32.76209
-135.193702,107,32.902174
-85.148865,121,33.060729
-72.668587,190,33.31775
-68.29915,87,33.438372
-62.058773,137,37.815281
-64.612275,143,38.010625
-63.580915,114,38.162975
-30.944244,130,38.337799
-2.682062,101,38.469027
-4.368533,94,38.592563
-46.53546,165,38.817258
-32.638382,84,38.931851
-47.229953,114,39.080059
-42.910899,186,43.694822
-8.34359,82,43.800442
-0.160071,95,43.930933
-84.133286,121,44.096895
-10.470412,195,44.372854
-36.932884,178,44.614338
3.875095,91,44.735133
-19.528609,107,44.881383
-0.923975,92,49.179453
-34.257487,142,49.374765
-35.293933,125,49.543754
-13.590148,112,49.692146
-69.747324,131,49.876861
-9.311628,155,50.089873
-29.798321,166,50.320979
-18.247806,123,55.030777
5.272322,114,55.188223
16.13908,107,55.330833
-7.256524,184,55.589031
-8.382285,110,55.742437
-37.026574,151,55.942771
-10.250636,194,56.20965
-13.500771,131,56.386876
-4.115404,181,60.711546
-196.309448,411,61.273166
8.402524,104,61.419132
-22.446795,162,61.63826
6.622525,96,61.767964
39.980094,192,65.828731
-4.732383,148,66.028997
57.481668,112,66.179913
55.140575,100,66.315436
15.865801,180,66.556684
-89.560243,260,66.907085
-41.752765,157,70.988558
4.855088,125,71.162491
-40.39728,141,71.346381
15.946311,167,71.569729
-44.285692,153,71.777898
2.726178,150,71.986558
11.600441,121,72.147864
10.529979,179,75.230128
-14.759931,138,75.425244
15.042084,169,75.649235
-43.665253,120,75.807485
-8.435423,180,76.051504
-6.545147,197,76.324649
-58.885287,181,80.749932
0.657132,1000,82.124709
-260.362191,273,86.405855
20.710557,1000,91.740976
10.451839,1000,97.547193
47.076127,182,97.790151
-233.191743,957,103.246567
39.390457,1000,109.391561
58.573426,1000,114.827186
94.911066,1000,121.094756
72.009031,1000,126.615302
-73.870481,446,127.221448
102.063523,1000,131.755888
94.611681,1000,137.273838
116.950963,1000,141.13274
129.908776,1000,146.672198
75.435716,1000,152.12875
107.249972,1000,156.991336
102.728663,1000,160.83565
105.346903,1000,165.061278
7.037676,271,165.428569
135.124947,1000,171.383205
119.949702,1000,176.873702
123.061042,1000,182.803579
-8.387168,243,183.132515
122.825055,1000,188.645359
114.474117,1000,192.357393
140.315332,1000,195.448231
117.090437,1000,199.074654
126.636413,1000,202.20417
31.242107,193,202.46114
58.705882,202,207.239229
40.989746,218,207.527768
179.067259,1000,213.109592
134.255449,1000,219.285874
119.555767,1000,224.974783
61.316849,224,225.26925
163.823816,1000,228.944599
112.625043,1000,232.07976
188.167044,1000,235.707549
152.131228,1000,241.374892
168.284619,1000,245.025041
10.400713,207,245.313097
150.503911,1000,249.376433
180.533873,1000,255.228743
150.878694,1000,260.785549
155.726052,1000,265.74992
162.636815,1000,271.412708
129.858894,1000,277.332824
135.558082,1000,282.872511
141.775868,1000,286.61501
152.912382,1000,289.885117
180.74757,1000,293.453641
179.818421,1000,298.828422
149.91806,1000,304.999514
153.503796,1000,308.369565
190.776902,1000,314.45172
154.844607,1000,319.986023
