#{"t_start": 1784565478.936779, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-324.364309,95,1.384993
-363.165319,129,1.482928
-127.251898,114,1.559956
-60.197935,99,1.6279
-430.774642,111,1.719743
-187.805646,87,1.784519
-85.28863,83,1.844202
-287.855782,144,1.955864
-77.819938,91,2.024281
-279.192066,116,2.111558
-477.995975,104,2.19663
-8.395062,203,7.174096
24.607459,216,14.870123
-370.573825,537,34.543344
-40.644443,214,42.380484
-254.918706,238,53.010339
-164.964307,285,63.10932
-21.858017,1000,102.770507
-147.82951,1000,139.195913
-200.813154,389,155.649906
-225.667681,184,162.281474
-94.98283,498,179.698414
-95.62234,160,185.544769
-94.826435,1000,223.465038
-15.859114,1000,262.97433
-44.811875,224,271.238409
269.935156,714,298.67339
-62.304894,161,304.594958
-133.759947,84,307.670977
-110.199862,92,311.038697
-171.203833,89,314.338137
0.165734,190,321.316635
24.873363,1000,358.989363
-193.970662,361,372.279136
-10.011236,1000,411.762344
205.898246,572,435.274543
-9.133934,185,442.104719
-7.301799,218,450.074239
200.763144,672,474.58454
191.540473,461,494.084943
-32.957376,1000,532.59102
-96.421518,1000,569.101932
226.882709,730,596.221035
189.58918,495,613.732947
267.109424,270,625.449368
33.88048,180,632.039356
249.588961,287,642.572042
221.792412,421,657.44234
269.391151,329,670.749459
-19.906457,197,678.010461
240.658904,416,693.267432
287.829158,283,703.826502
231.692022,332,716.708954
189.878067,394,730.664853
272.923945,460,747.49416
259.699806,558,768.919859
284.437427,254,778.192735
240.462752,234,786.475261
261.902496,305,797.43691
239.90349,300,809.753688
245.426229,348,822.581597
275.486974,217,830.65347
282.642618,284,841.095459
274.48574,258,850.568837
267.340533,272,861.425083
262.473581,341,873.82094
245.259579,242,882.759337
-13.141713,162,888.718663
290.433647,231,897.253791
19.453213,143,903.306376
255.317838,248,912.386822
283.597394,315,923.919439
300.379486,192,930.540685
272.34971,240,939.278768
297.563391,211,947.73234
241.908726,252,956.964895
207.854076,479,973.967308
53.581092,141,978.735273
268.562749,221,986.734083
286.267596,274,997.577316
285.130151,249,1006.575247
-12.340047,140,1011.714994
272.833347,202,1019.003095
290.208802,245,1027.654423
243.913955,227,1036.061606
249.50368,280,1047.214164
284.551523,267,1056.737129
266.597106,236,1064.646441
301.80365,262,1074.087584
276.103504,217,1081.997996
