#{"t_start": 1785328169.3804257, "env_id": "Go2Locomotion-v0"}
r,l,t
1129.544044,1000,16.676939
1587.021861,1000,39.893826
1483.34027,1000,65.624544
1513.180905,1000,87.604199
1275.829512,1000,112.177368
1161.055643,1000,134.146761
1100.389099,1000,160.169459
1177.343433,1000,183.173578
1409.287972,1000,207.402309
1191.82583,1000,229.34861
1483.74987,1000,252.433806
1439.382467,946,275.622621
1206.044751,674,297.639452
1239.229575,773,318.384865
1033.465367,739,339.55839
1269.576527,694,343.452474
1270.893835,734,364.064207
618.763114,475,384.642803
872.838293,468,387.278711
517.5668,342,389.161336
177.528632,127,389.866022
172.467805,124,407.028735
148.436642,126,407.7421
215.591392,118,408.382075
135.548081,121,409.06133
208.693386,115,409.709215
218.634287,114,410.331539
253.038317,118,410.990361
264.315119,134,411.735547
171.087387,136,429.450325
210.393768,139,430.214209
321.31021,140,430.998588
221.302976,145,431.817593
170.68478,122,432.501684
152.435591,129,433.224593
212.764096,142,434.030874
164.904942,134,451.534718
162.483306,134,452.276258
171.471893,131,452.994787
210.422556,150,453.836661
184.649005,146,454.624849
282.560388,149,455.46049
221.786872,131,456.201545
177.792041,151,473.969167
222.939857,182,474.987796
949.663951,556,478.073892
1185.657725,607,499.472684
179.072378,138,500.222269
410.864891,182,501.222116
281.149641,217,502.41463
170.57849,129,520.411291
184.339357,130,521.1288
276.691565,133,521.883287
240.539018,122,522.548216
221.688099,128,523.237107
160.909953,120,523.890174
205.678067,119,524.549311
226.970881,115,525.172572
132.334383,112,542.299522
136.803766,109,542.906504
135.240766,109,543.509583
218.146714,111,544.10406
199.647243,109,544.697092
197.613934,111,545.312081
158.686269,111,545.914283
127.07537,110,546.520626
206.666612,109,547.111114
146.27785,110,547.720387
154.498397,115,565.91329
203.128814,122,566.57887
194.604368,118,567.232067
193.594301,123,567.912065
194.977312,120,568.573016
236.801755,115,569.201136
157.313957,123,569.903253
272.913419,114,570.547483
202.061361,111,588.476912
148.153266,109,589.067911
230.403714,110,589.681438
124.271484,111,590.306181
230.106975,113,590.923864
258.475315,124,591.586081
202.537187,117,592.23001
153.259297,114,592.85181
143.357626,118,593.499161
