#{"t_start": 1784567770.6247327, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-326.204249,126,0.890038
-264.425259,107,1.034611
-210.43759,132,1.212778
-366.674142,241,1.532407
-230.699074,116,1.691759
-173.464069,108,1.835986
-33.259238,78,1.94528
-319.576593,105,2.091536
-53.653959,74,5.265906
-124.474417,99,5.403733
-156.133466,124,5.568167
-282.197413,115,5.733005
-129.632584,153,5.938253
-354.638775,89,6.065061
-50.97905,164,6.29849
-80.567979,94,6.422076
-56.682874,75,6.523062
-115.892266,93,10.633255
-170.922868,118,10.794696
-60.013021,92,10.918139
-35.545508,96,11.054672
-207.43325,94,11.181719
-27.828788,103,11.322964
-226.408175,70,11.419641
-190.042786,196,11.69552
-305.186437,117,11.854126
-156.843528,158,16.218321
-140.767442,168,16.442021
-402.268271,167,16.663637
-62.971009,74,16.764447
-93.065121,99,16.902565
-389.026403,201,17.177721
-179.600015,93,17.305847
-222.469994,107,17.452293
-58.092886,136,21.941863
-67.633436,66,22.028697
-111.559624,126,22.199021
-77.395309,95,22.332622
-93.023888,161,22.553908
-57.763366,129,22.731885
-64.295841,101,22.867905
-100.392137,87,22.992945
-41.56957,84,23.109705
-90.771117,114,25.315321
-50.706938,137,25.506013
-61.782152,108,25.655646
-37.578609,149,25.857578
-48.047085,178,26.112163
-26.915589,88,26.230579
-11.150322,141,26.422305
-71.594747,116,26.576095
-39.062497,165,31.138857
-86.444045,120,31.305435
17.52606,119,31.465445
-41.987245,91,31.594789
-54.763382,96,31.729601
-83.732211,117,31.895705
-76.708869,79,31.996212
-117.851721,95,32.130432
-46.733382,87,32.248963
-56.932917,115,32.413966
-155.625528,123,36.697293
-49.33741,220,37.000578
-65.819579,111,37.154073
-156.695192,199,37.427311
-22.152133,106,37.57502
-32.370898,86,37.689766
-54.033111,95,37.822286
-14.178831,85,37.938949
-45.923999,169,40.074145
-67.741088,137,40.266188
-56.163102,144,40.462983
-33.348996,79,40.569422
-24.933344,99,40.704582
-34.114836,135,40.887532
-14.982698,116,41.046949
-54.057272,102,41.188713
-11.849551,106,43.111794
-31.60115,116,43.26858
-62.939548,115,43.420692
44.285224,190,43.679194
16.898988,114,43.832044
-55.866612,127,44.00305
-50.702904,93,44.127377
-8.773171,137,44.313313
-335.448062,767,49.869261
-1.858156,156,50.079503
52.899892,1000,55.617727
9.535037,227,60.487582
44.229696,136,60.67687
39.209471,136,60.866164
-18.643361,143,61.059868
34.847544,120,61.228914
31.716499,184,61.470364
-1.289236,188,61.725779
4.986154,1000,67.28607
51.18834,121,67.45
18.698998,1000,71.219691
48.237405,1000,76.718516
51.340044,162,79.177023
35.404934,244,79.515367
-19.628263,217,79.82163
104.17571,1000,83.08139
51.075985,1000,89.29715
122.466145,1000,94.838336
67.703508,1000,98.607092
106.994309,1000,101.70956
-1.253722,234,102.024004
132.333219,1000,106.719867
116.463632,1000,112.256161
49.429779,291,112.655415
72.261425,1000,118.708892
101.444765,1000,124.265063
149.683741,1000,130.019875
152.554052,1000,135.486118
86.272696,1000,139.390045
33.872253,1000,145.079757
74.891689,1000,149.835839
125.501888,1000,153.722539
151.88516,1000,159.346841
136.165314,1000,165.021337
142.425138,1000,169.095122
110.652823,1000,172.913992
138.957066,1000,176.88184
152.059846,1000,182.360506
155.911332,1000,187.95485
98.337076,1000,192.803818
126.942292,1000,196.489417
97.754437,1000,202.202431
124.631196,1000,206.291896
162.723105,1000,210.475498
141.123949,1000,216.612366
123.129134,1000,222.116585
107.216542,1000,225.830717
143.593674,1000,231.371097
108.733442,1000,235.628324
110.084159,1000,241.12434
144.554453,1000,247.176991
178.756499,1000,251.966617
162.727874,1000,258.029324
140.51645,1000,263.572927
134.21471,1000,268.21671
158.781361,1000,273.72313
147.895836,1000,279.3219
169.83889,1000,284.869235
155.148413,1000,291.003323
114.849725,1000,296.473737
140.291794,1000,301.871397
185.876992,1000,305.194928
59.36999,236,305.529696
165.845036,1000,311.68883
130.853917,1000,317.339771
