#{"t_start": 1785160561.3468783, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-114.803127,113,0.833334
-119.763891,136,1.066538
-79.382193,105,1.245324
-167.828232,122,1.440814
-176.356715,101,1.605046
-226.475786,105,1.774549
-187.399444,112,1.96299
-98.491726,108,2.14891
-109.21999,204,4.23092
-136.805272,73,4.361871
-32.682603,99,4.535986
-73.872992,1000,8.441054
-172.864501,112,8.640351
-241.340243,114,8.842637
-343.168906,156,9.104366
-259.397118,122,9.315553
-324.939396,115,9.523271
-109.735263,121,9.731178
-222.068751,131,11.657254
-107.710106,117,11.856242
35.145006,119,12.065568
-89.462988,134,12.304746
-60.522346,78,12.447416
-309.434304,105,12.630043
-73.071699,208,12.993055
-86.338735,86,13.145108
-170.429309,73,13.277623
-33.687411,98,15.59801
-27.795821,83,15.755593
-132.960818,105,15.942126
-69.569818,115,16.136
-102.896689,101,16.310828
-114.752846,150,16.569618
-48.867532,103,16.756819
-285.18916,140,17.011245
-94.925676,110,17.206456
-233.217326,129,19.327356
-111.064549,91,19.48298
-186.84551,111,19.679897
-60.781528,98,19.855553
3.940461,202,20.218847
-96.788379,241,20.653754
-242.69607,158,20.930959
-89.106706,93,23.334592
-111.298571,135,23.565937
-49.049927,130,23.804208
-128.761466,118,24.007544
-76.35792,207,24.367433
-134.050139,180,24.677002
-238.477851,171,24.987646
-133.900766,132,27.124664
-86.795786,100,27.305061
-61.889481,141,27.549149
-49.327629,178,27.865787
-84.166606,151,28.135186
-186.30484,114,28.338636
-133.777636,140,28.590276
-61.808824,107,30.955639
-68.360596,139,31.198164
-267.733282,130,31.427127
-119.914301,118,31.638086
-26.312554,91,31.798344
-105.407651,105,31.985676
-140.577401,89,32.143046
-40.212918,110,32.344227
-31.188089,98,32.514619
-76.378408,111,32.708165
-60.874689,82,34.738193
-130.030978,148,35.00151
-204.818689,140,35.244224
-90.57039,136,35.499039
-62.987051,114,35.701282
-216.831653,93,35.874847
-153.656252,170,36.173159
-55.372356,138,36.415982
-128.913629,105,38.90011
-57.641192,96,39.072851
-222.543686,134,39.31147
-85.463689,180,39.62918
-92.481057,111,39.8259
-49.730887,114,40.036165
-108.124868,93,40.201424
-179.395736,166,40.499156
-103.250209,78,42.383643
-62.517035,140,42.626099
-24.654025,158,42.909185
-62.020047,140,43.162326
-222.24368,94,43.327396
-12.361119,99,43.502012
-4.071119,107,43.692162
-52.077379,156,43.970641
-8.603675,96,44.142177
-97.448098,140,46.673235
-62.093881,132,46.917766
-57.423241,133,47.157704
-27.015237,114,47.361012
-24.424048,114,47.569256
-73.31389,167,47.868537
-52.889128,149,48.137101
-55.505211,76,48.275104
-43.871263,94,50.121381
-292.225465,368,50.775342
-37.753656,199,51.121113
-161.359275,149,51.396137
-53.012478,140,51.644072
-79.304316,188,54.308
-103.259364,200,54.652057
-68.774932,171,54.963312
-25.947225,110,55.156462
-6.310886,100,55.336063
-29.286742,150,55.598315
-42.020361,187,57.851638
-64.905203,112,58.046388
7.909655,143,58.295374
8.114786,95,58.456917
-99.783192,150,58.717456
-53.418639,165,59.017168
-28.124987,155,59.298787
1.243349,84,59.446267
22.334493,109,59.641284
-9.065775,129,62.396481
6.461292,123,62.600708
-32.166415,138,62.833224
24.256699,104,63.022418
-18.32263,122,63.233175
-18.619723,191,63.577067
-66.496676,162,63.877365
-39.507532,70,65.661359
45.059698,106,65.842209
-29.199366,176,66.150985
6.516785,157,66.432791
18.979851,183,66.757567
-13.958789,148,67.013264
31.642554,111,67.2138
-24.904825,103,67.390283
32.412806,124,70.672359
26.998467,116,70.877112
-18.444392,168,71.186162
11.216067,102,71.377556
-60.57726,314,71.941148
-11.420952,110,72.143286
-173.92647,158,74.368166
3.217343,180,74.680314
59.51023,113,74.886044
-57.770689,168,75.186731
27.274356,161,75.473497
-26.062664,214,75.85915
-24.166309,144,76.120084
14.632623,137,79.371296
-43.4099,148,79.634877
-2.926333,181,79.95654
-40.863661,167,80.253455
14.053667,1000,83.866207
-11.578189,176,84.188778
-3.504983,123,84.412988
1.649521,130,87.453193
5.217666,148,87.716835
37.22854,141,87.969818
-41.322927,134,88.221759
8.316447,117,88.422511
-65.315874,173,88.728355
29.41499,158,89.016314
24.167101,101,89.209112
-34.09802,156,91.390127
-8.283913,99,91.569466
7.589944,144,91.832281
-11.50698,157,92.114078
39.253619,116,92.329054
42.910405,213,92.712787
75.17827,1000,96.865216
-16.355049,167,97.161237
33.068141,134,99.295418
-3.19222,168,99.589302
90.136489,1000,104.005496
30.505272,130,104.244883
37.72037,179,104.560632
5.471546,152,104.822829
84.241755,1000,108.497244
102.213339,1000,113.09796
11.621875,217,113.493625
22.574335,143,113.747396
82.105591,1000,117.334389
25.075607,197,120.359586
40.125725,189,120.696372
-21.92755,181,121.008203
31.325418,204,121.348109
25.548597,143,121.600559
50.641205,113,121.801183
59.805204,147,123.95546
72.677502,1000,128.576291
33.357922,182,128.900627
12.227642,112,129.099354
22.763274,203,129.464173
127.305848,1000,133.154887
121.329209,1000,137.877103
47.852667,161,138.159363
24.269961,158,138.442487
144.546931,1000,141.959415
112.037453,1000,146.324063
61.286835,130,146.554209
128.805209,1000,150.240201
81.705631,163,153.429371
92.312198,1000,157.003666
91.937223,133,157.237908
136.028588,1000,161.924547
144.763107,1000,165.596918
78.018305,134,165.838303
166.393827,1000,170.180296
160.255499,1000,173.860681
144.775767,1000,178.523309
137.975403,1000,182.197193
158.451872,1000,187.073961
146.112983,1000,190.706375
157.746804,1000,195.171999
144.130182,1000,198.667456
149.127281,1000,203.598938
131.036472,1000,207.28432
158.47414,1000,209.024041
178.181208,1000,213.755311
135.525254,1000,217.416078
152.525112,1000,222.068667
154.661216,1000,225.71466
135.154012,1000,230.319329
181.551086,1000,234.008902
176.217939,1000,238.453032
197.329167,1000,242.021249
181.281284,1000,246.440324
157.529318,1000,250.052513
185.33301,1000,254.527832
160.825261,1000,257.974447
