#{"t_start": 1785490142.3378978, "env_id": "Go2Locomotion-v0"}
r,l,t,episode_vx_rmse,episode_vy_rmse,episode_yaw_rmse,episode_mean_vx,episode_mean_vy,episode_mean_yaw_rate,episode_action_saturation,episode_torque_sq,termination_code
-81.394176,1000,8.891413,0.5020699734400994,0.022056446680214312,0.08916404521605036,-0.0014123306269730562,0.0001207469954231865,-0.0003198725422179347,0.0,173.54396205716347,0.0
-74.645778,1000,11.453184,0.5006992737900093,0.02229449511024384,0.08046416021928257,-2.5323480911355624e-05,0.00023733295376916666,-0.00046049168986538486,0.0,161.3938401812317,0.0
-69.089324,1000,13.942343,0.4994136035217016,0.02105948138929871,0.07761842025560221,0.001171278902352368,0.0005978292047702258,0.0011636078096827671,0.0,152.80689686005758,0.0
-65.867541,1000,16.486016,0.49810197113396987,0.02185678899451202,0.07288940329569804,0.002450922188191066,0.0003897705099632343,-0.0008802679514338948,0.0,149.63303364607225,0.0
-54.982543,999,19.010988,0.4898880773367313,0.01970678764398121,0.06689714628107751,0.011001298161636452,0.0027207413365606553,0.0008283766182358404,8.341675008341674e-05,176.76981706415964,1.0
-30.978008,377,19.949921,0.4759680833521508,0.03345461246561704,0.07025284325825647,0.02520306381896523,0.017929265260513614,-0.010131297923332052,0.000663129973474801,206.5600900818598,1.0
-9.193124,258,20.612378,0.4587603668724648,0.016317436301049284,0.06502408036886138,0.044648254742421366,0.0018172155686590173,0.005184650636308706,0.001614987080103359,198.5855602766433,1.0
-33.707516,365,21.516276,0.47737120988998777,0.04720338618889026,0.06988571841932997,0.024083681096787296,0.023634946722640476,-0.0022027802592250985,0.0018264840182648401,194.5639637039272,1.0
-14.927617,224,22.094721,0.45863494529058807,0.027681475431149707,0.0702059666585066,0.043748108389404426,0.02037528414104974,0.0011762199793838907,0.004092261904761905,209.32610005363944,1.0
-6.90761,187,22.576187,0.4445564802209759,0.018861509737707144,0.07915829050111924,0.059666840271637746,0.0012732569110428418,-0.00935388579221798,0.007575757575757573,207.93525698779513,1.0
-6.138493,159,22.970712,0.43793896938747595,0.020301144766406664,0.06933923953470918,0.06643167667784579,0.008385075287868771,0.004880737512241723,0.007337526205450732,205.9764152151215,1.0
-9.184109,181,23.433904,0.44997765062595235,0.025597408347707577,0.07327620451039404,0.053044913155323004,0.0164847154849902,0.008821229351932343,0.009668508287292814,194.4647321246609,1.0
-2.218685,105,23.702488,0.40888858400099154,0.016799163358102824,0.06229225620326997,0.0979894136175247,0.00918643463506883,-0.0010007804561933524,0.009523809523809525,210.1061779812363,1.0
-6.153424,117,24.000813,0.42049058421753066,0.03596324285260638,0.08580705761176198,0.0849361400482618,0.030705844058436568,-0.0031274055336500566,0.00997150997150997,210.25086619256538,1.0
-4.068033,124,24.319042,0.4249803702661043,0.02081665909744243,0.06987935534570033,0.08179839472178484,0.012925725311116198,-0.0006903825976852227,0.014784946236559135,204.07174068311107,1.0
-5.09925,125,24.648362,0.42688463196928184,0.022004496385234905,0.07568184695150787,0.07851894561771841,0.012397243650473988,0.004310680328163979,0.015999999999999993,209.24641949747,1.0
-3.94759,119,24.939263,0.4208925003942754,0.01682860816068302,0.06298948170568383,0.08507263053788233,0.010599304526848614,0.00795220608240725,0.019607843137254895,210.0818215085912,1.0
-6.341377,126,25.277964,0.4272245028330344,0.028809756955514732,0.07243782278827894,0.07739932923491985,0.025356431216871474,0.0021354483452056838,0.017857142857142853,207.69338765318886,1.0
-7.382414,156,25.670383,0.442594377961988,0.0167948709515595,0.07850883380339874,0.06227149391475271,0.010602885068822246,0.0019510298431395618,0.020299145299145303,207.34749866698584,1.0
-7.829643,177,26.11139,0.44589232466000644,0.02014916465761032,0.06830030300302666,0.05843271346217226,0.0139988802797299,0.005334532080346103,0.026836158192090395,200.11633459969607,1.0
-11.516108,134,26.43777,0.43839172458223835,0.052031744854669125,0.06566667176131218,0.06616197501589813,0.043876439396572056,0.0015357172622943503,0.0304726368159204,206.07264817949667,1.0
-3.372337,127,26.759369,0.4259847175232074,0.020779690545102408,0.06458125483906611,0.08055152612710312,0.009203430986841617,0.005763155161059979,0.02821522309711287,203.73838446551966,1.0
-3.81438,113,27.031711,0.4165565506179417,0.01957157531746659,0.07414157493724752,0.08931846789496319,0.014070175237430965,0.0009040758792470758,0.02433628318584071,203.5033162806896,1.0
-5.925416,136,27.386396,0.4342781510592715,0.02071939473373932,0.06441486440867512,0.07102619336004053,0.014743320275966757,0.0062701994033668015,0.03492647058823529,202.1069023596026,1.0
-8.947004,158,27.781254,0.44524881568086133,0.023868796911852338,0.06420540632923484,0.05932831324058713,0.012860281050545425,0.011335543272014376,0.03691983122362867,204.1941049190874,1.0
-12.685533,143,28.130332,0.44454737613303047,0.03302841717245875,0.06539831254886885,0.059549288411942146,0.02782672402509819,-0.011415306538734718,0.04662004662004658,219.14555023149697,1.0
-5.850907,94,28.355421,0.40606638405110157,0.02539421321170733,0.08530508302485139,0.10053338743115792,0.018064847117627462,0.007659548067842936,0.045212765957446825,209.87446172970877,1.0
-2.863694,97,28.618985,0.4056746512546263,0.018080543985382908,0.0744539131795451,0.10204223002991086,0.006603773920348273,0.010863222347505613,0.03780068728522338,205.4959193991876,1.0
-15.561531,274,29.32339,0.46541898957470607,0.02172578100081525,0.06703858083090962,0.038143078762243224,0.009291648441797857,0.0057689065003892525,0.05352798053527984,213.48542581918502,1.0
-4.04664,50,29.444096,0.33634470027033475,0.035196326412432664,0.10454327521817074,0.1748989158090184,0.028796953723427738,-0.007990597659182693,0.03666666666666665,194.58689265831953,1.0
