#{"t_start": 1785160825.6331222, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-376.164239,99,1.299334
-488.785059,185,1.611953
-114.590795,112,1.792735
-196.360711,96,1.952864
-338.775591,88,2.09723
-445.518578,105,2.269612
-379.656146,95,2.438938
-83.983064,169,2.731818
-221.952986,82,4.571017
-262.466946,207,4.943914
-216.477571,150,5.212526
-301.339476,76,5.34633
-162.13533,114,5.542681
-152.538355,127,5.774714
-287.775958,137,6.022419
-230.179367,103,6.207837
-250.16667,170,8.472997
-190.140743,125,8.688448
-143.463893,112,8.888462
-124.986152,165,9.177917
-89.031377,81,9.313512
-157.130107,145,9.575448
-61.66454,76,9.713011
-177.376694,125,9.938492
-83.897306,157,12.112834
-36.084167,108,12.306999
-89.090377,95,12.479118
-100.228017,85,12.633238
-77.512019,76,12.76302
-79.729604,130,12.99189
-76.530044,94,13.163149
-256.878288,101,13.342402
-157.701711,173,13.664212
-36.019199,73,13.794227
-189.807431,144,16.032183
-91.938164,90,16.197098
-84.328365,82,16.335777
-51.572071,106,16.522264
-52.985443,77,16.657201
-116.975888,94,16.815968
-110.80803,101,16.988778
-52.944024,69,17.106192
-79.010554,119,17.320682
-52.488335,78,17.455116
-45.783635,144,19.379899
-54.037065,100,19.550719
-121.146491,142,19.806468
-48.844223,139,20.056642
-47.022082,73,20.181958
-111.490876,125,20.408895
-45.559327,91,20.576674
-88.778753,73,20.702945
-89.250858,118,20.904323
-64.552597,109,21.090658
-60.930587,150,23.282974
-64.243867,74,23.407323
-28.224173,95,23.566941
-129.876487,134,23.801644
-154.50101,175,24.113545
-94.391102,119,24.315674
-81.636081,99,24.481603
-9.121801,1000,27.917229
-47.611297,118,28.117144
-43.742897,72,28.241623
-19.65564,137,30.579024
-68.978761,124,30.796749
-50.096341,129,31.011167
-9.551337,96,31.177912
-31.720931,175,31.472741
-147.480297,94,31.62937
-98.932068,134,31.870623
-93.213657,96,32.041325
-102.266302,112,34.129501
-21.607099,142,34.375953
-34.225514,129,34.612326
-13.709616,122,34.834052
9.546295,125,35.060724
-6.44603,95,35.230246
-63.019092,83,35.374259
-23.669407,77,35.512634
-38.844259,90,35.667953
-53.588807,163,38.040132
38.749975,138,38.286049
-162.171617,126,38.499722
13.597962,120,38.703727
-36.048005,118,38.921277
-90.918463,106,39.115942
-31.679953,96,39.276033
-51.382444,121,39.495976
-260.856576,283,41.917582
44.521307,219,42.292047
-90.679082,170,42.589254
-19.487919,113,42.770763
-268.043519,905,46.871068
13.711316,163,47.156814
3.178562,106,47.332804
10.091,84,47.473602
-57.722903,206,49.549432
-55.861918,239,49.963862
-287.705937,718,51.239895
-63.74807,145,53.643275
-31.719389,195,53.981326
-12.654816,135,54.217214
-12.988937,108,54.409744
-56.860824,147,54.673877
-10.277086,91,54.832961
-44.206259,153,55.108333
-99.348319,192,57.199718
-0.156169,86,57.357752
-11.093318,86,57.5063
-0.559061,142,57.754712
7.870656,126,57.982955
-58.456884,171,58.286875
-26.825512,1000,62.240201
-75.979985,1000,65.70654
22.564119,134,65.951255
16.356617,100,66.131503
5.229533,123,68.559978
-36.502911,149,68.825084
-4.1231,150,69.08865
28.598204,121,69.31529
3.89323,1000,72.782155
-49.240624,1000,77.324885
23.33728,122,77.54309
-48.022051,91,77.705028
50.519073,1000,81.218701
-7.982579,107,81.407215
-12.769078,144,81.660942
-25.197537,99,81.835178
18.819823,172,84.269195
5.54354,156,84.535882
-17.608209,136,84.76491
7.780517,137,85.01211
1.741778,168,85.318118
5.911689,115,85.533029
31.24201,156,85.798477
-0.27973,123,87.698659
44.600064,173,88.01656
0.453044,139,88.261374
17.76367,115,88.475891
0.913416,129,88.708601
11.675909,115,88.913735
14.975967,151,89.178475
18.875938,141,89.417595
-43.032855,117,91.861759
-1.828425,93,92.030654
20.950208,127,92.260476
23.755414,129,92.492106
18.880106,167,92.794916
-45.630352,120,93.011898
45.389796,155,93.298986
17.3558,149,93.56725
-9.08798,128,95.473091
19.200914,104,95.658823
-6.40586,118,95.871013
-5.085881,150,96.138917
38.08168,184,96.446778
-10.348378,161,96.735318
35.905694,1000,100.966549
30.257888,120,101.185538
4.342274,177,103.192011
-18.881673,126,103.413085
27.299129,165,103.712828
8.743669,135,103.959887
48.016027,1000,108.022647
0.696321,109,108.221167
32.230554,193,108.572722
5.552677,145,108.821776
19.701524,111,110.740177
130.073133,1000,114.92741
3.784522,162,115.208315
38.378384,143,115.468323
12.094765,141,115.724107
-2.42346,112,115.921636
47.473388,138,116.169774
46.343763,1000,119.648403
55.337491,165,119.961213
-38.291947,1000,124.415457
-140.820003,298,126.696893
-18.992224,1000,131.104562
120.973005,1000,134.764032
94.728765,1000,139.185599
-13.488664,1000,140.987994
69.246531,1000,144.534043
49.121894,1000,149.273433
134.21631,1000,152.745538
133.157407,1000,157.534844
91.297402,1000,160.978566
57.134448,1000,165.506295
130.915876,1000,168.97796
14.120569,176,172.170412
24.310121,167,172.467915
153.498186,1000,176.150982
195.570967,1000,180.56328
30.146381,185,180.885204
151.344348,1000,184.547878
-135.232258,783,189.176389
88.880063,1000,192.856732
105.137258,1000,194.618639
133.870814,1000,199.323654
1.662916,230,201.639836
171.192367,1000,206.543613
110.286773,1000,209.99791
15.864357,244,210.411581
158.395156,1000,215.033903
154.269026,1000,218.556206
129.840559,1000,223.456763
156.031469,1000,226.943408
41.030899,267,227.406962
139.395009,1000,232.144823
121.218213,1000,235.623232
160.800171,1000,240.79579
146.712882,1000,244.452951
111.131566,1000,249.132123
134.468021,1000,252.810094
