ts,gpu%,gpu_mem,cpu%,ram_mb
00:37:56,3,88,6.1,
00:38:26,31,287,5.2,
00:38:56,30,287,8.8,
00:39:27,30,287,6.1,
00:39:57,26,287,5.7,
00:40:27,38,287,6.1,
00:40:57,33,287,8.3,
00:41:28,26,287,5.8,
00:41:58,16,287,5.3,
00:42:28,30,287,5.4,
00:42:58,30,287,5.8,
00:43:28,31,287,5.3,
00:43:59,33,287,5.8,
00:44:29,31,287,6.0,
00:44:59,30,287,5.6,
00:45:29,32,287,5.7,
00:46:00,30,287,5.8,
00:46:30,25,287,5.2,
00:47:00,30,287,4.3,
00:47:30,25,287,5.3,
00:48:01,31,287,6.1,
00:48:31,27,287,9.1,
00:49:01,28,287,5.8,
00:49:31,30,287,5.3,
00:50:02,30,287,6.1,
00:50:32,26,287,8.0,
00:51:02,29,287,6.2,
00:51:32,32,287,5.6,
00:52:03,30,287,5.3,
00:52:33,31,287,5.7,
00:53:03,25,287,5.8,
00:53:33,30,287,5.7,
00:54:04,32,287,5.3,
00:54:34,26,287,6.1,
00:55:04,31,287,5.3,
00:55:34,26,287,5.8,
00:56:04,30,287,5.3,
00:56:35,30,287,5.8,
00:57:05,26,287,5.7,
00:57:35,25,287,4.9,
00:58:05,25,287,9.5,
00:58:36,24,287,4.4,
00:59:06,31,287,5.3,
00:59:36,28,287,6.2,
01:00:06,31,287,6.7,
01:00:37,27,287,6.3,
01:01:07,30,287,5.2,
01:01:37,25,287,10.0,
01:02:07,31,287,5.6,
01:02:38,30,287,5.3,
01:03:08,27,287,5.2,
01:03:38,29,287,8.2,
01:04:08,25,287,5.7,
01:04:39,30,287,4.9,
01:05:09,31,287,6.3,
01:05:39,31,287,5.6,
01:06:09,26,287,5.3,
01:06:40,46,287,5.3,
01:07:10,30,287,8.6,
01:07:40,31,287,5.3,
01:08:10,30,287,5.8,
01:08:40,23,287,4.8,
01:09:11,12,287,7.1,
01:09:41,25,287,5.3,
01:10:11,31,287,6.1,
01:10:41,30,287,6.2,
01:11:12,27,287,6.0,
01:11:42,31,287,5.6,
01:12:12,49,287,5.2,
01:12:42,31,287,8.3,
01:13:13,23,287,5.3,
01:13:43,29,287,5.3,
01:14:13,32,287,5.8,
01:14:43,31,287,8.8,
01:15:14,34,287,5.7,
01:15:44,30,287,5.7,
