ts,gpu%,gpu_mem,cpu%,ram_mb
23:05:11,3,88,6.1,
23:05:41,31,287,5.8,
23:06:11,31,287,10.2,
23:06:42,30,287,6.6,
23:07:12,27,287,6.1,
23:07:42,21,287,6.0,
23:08:12,31,287,9.2,
23:08:43,31,287,5.8,
23:09:13,30,287,5.3,
23:09:43,31,287,5.3,
23:10:13,30,287,5.7,
23:10:44,30,287,5.8,
23:11:14,30,287,6.3,
23:11:44,28,287,4.7,
23:12:14,24,287,5.3,
23:12:45,30,287,5.3,
23:13:15,30,287,6.1,
23:13:45,48,287,5.7,
23:14:15,32,287,7.2,
23:14:45,30,287,5.2,
23:15:16,28,287,4.8,
23:15:46,30,287,6.1,
23:16:16,31,287,5.8,
23:16:46,25,287,6.2,
23:17:17,15,287,5.7,
23:17:47,31,287,6.2,
23:18:17,25,287,5.3,
23:18:47,25,287,5.6,
23:19:18,46,287,4.9,
23:19:48,30,287,8.6,
23:20:18,31,287,5.3,
23:20:48,24,287,6.4,
23:21:19,44,287,5.3,
23:21:49,31,287,6.3,
23:22:19,29,287,6.2,
23:22:49,15,287,5.6,
23:23:20,27,287,9.1,
23:23:50,30,287,5.8,
23:24:20,28,287,5.2,
23:24:50,31,287,5.3,
23:25:20,32,287,5.7,
23:25:51,27,287,5.7,
23:26:21,31,287,5.6,
23:26:51,30,287,5.8,
23:27:21,32,287,5.7,
23:27:52,30,287,5.7,
23:28:22,30,287,5.2,
23:28:52,31,287,5.8,
23:29:22,30,287,5.2,
23:29:53,30,287,5.2,
23:30:23,30,287,6.3,
23:30:53,31,287,4.9,
23:31:23,31,287,5.8,
23:31:54,31,287,6.4,
23:32:24,32,287,6.0,
23:32:54,30,287,5.7,
23:33:24,31,287,5.8,
23:33:55,30,287,5.7,
23:34:25,30,287,5.3,
23:34:55,28,287,8.1,
23:35:25,29,287,6.2,
23:35:56,31,287,5.8,
23:36:26,27,287,5.3,
23:36:56,26,287,5.8,
23:37:26,31,287,6.1,
23:37:56,28,287,5.8,
23:38:27,26,287,8.4,
23:38:57,31,287,6.2,
23:39:27,26,287,5.7,
23:39:57,31,287,5.7,
23:40:28,32,287,9.8,
23:40:58,30,287,5.8,
23:41:28,31,287,5.7,
23:41:58,29,287,4.8,
23:42:29,26,287,6.1,
23:42:59,31,287,6.1,
23:43:29,32,287,6.6,
