ts,gpu%,gpu_mem,cpu%,ram_mb
02:11:33,5,88,5.6,
02:12:03,31,287,5.3,
02:12:34,25,287,9.5,
02:13:04,31,287,5.7,
02:13:34,25,287,5.2,
02:14:04,32,287,5.3,
02:14:35,30,287,6.3,
02:15:05,31,287,5.3,
02:15:35,18,287,5.8,
02:16:05,28,287,9.4,
02:16:36,30,287,5.8,
02:17:06,31,287,5.8,
02:17:36,29,287,6.2,
02:18:06,30,287,5.8,
02:18:36,31,287,6.0,
02:19:07,29,287,6.1,
02:19:37,25,287,9.0,
02:20:07,30,287,5.3,
02:20:37,25,287,6.3,
02:21:08,31,287,5.4,
02:21:38,28,287,4.9,
02:22:08,26,287,5.8,
02:22:38,30,287,4.9,
02:23:09,29,287,5.3,
02:23:39,30,287,10.1,
02:24:09,31,287,5.8,
02:24:39,24,287,6.5,
02:25:10,31,287,4.8,
02:25:40,24,287,4.9,
02:26:10,24,287,4.9,
02:26:40,28,287,5.3,
02:27:11,30,287,9.6,
02:27:41,30,287,5.3,
02:28:11,34,287,4.9,
02:28:41,31,287,5.3,
02:29:12,26,287,9.0,
02:29:42,32,287,6.2,
02:30:12,30,287,6.1,
02:30:42,31,287,5.3,
02:31:12,31,287,5.7,
02:31:43,25,287,6.1,
02:32:13,30,287,5.3,
02:32:43,32,287,9.0,
02:33:13,28,287,5.2,
02:33:44,30,287,6.1,
02:34:14,17,287,4.8,
02:34:44,28,287,6.7,
02:35:14,30,287,5.7,
02:35:45,31,287,5.8,
02:36:15,29,287,5.3,
02:36:45,26,287,5.7,
02:37:15,30,287,5.8,
02:37:46,30,287,5.8,
02:38:16,30,287,5.2,
02:38:46,30,287,5.8,
02:39:16,31,287,6.2,
02:39:46,31,287,4.8,
02:40:17,31,287,6.2,
02:40:47,31,287,5.2,
02:41:17,30,287,5.3,
02:41:47,31,287,5.6,
02:42:18,33,287,9.5,
02:42:48,31,287,6.5,
02:43:18,30,287,5.8,
02:43:48,31,287,6.5,
02:44:19,25,287,5.8,
02:44:49,30,287,5.7,
02:45:19,32,287,6.2,
02:45:49,31,287,5.7,
02:46:20,30,287,5.3,
02:46:50,29,287,5.2,
02:47:20,30,287,5.8,
02:47:50,25,287,8.4,
02:48:21,29,287,6.1,
02:48:51,27,287,5.7,
02:49:21,47,287,4.8,
