ts,gpu%,gpu_mem,cpu%,ram_mb
20:54:32,5,88,5.4,
20:55:02,33,287,5.8,
20:55:32,33,287,5.8,
20:56:03,34,287,5.7,
20:56:33,30,287,4.8,
20:57:03,24,287,5.3,
20:57:33,28,287,5.2,
20:58:04,34,287,5.4,
20:58:34,31,287,5.8,
20:59:04,24,287,9.0,
20:59:34,30,287,5.6,
21:00:05,32,287,5.3,
21:00:35,33,287,5.3,
21:01:05,30,287,4.8,
21:01:35,33,287,5.8,
21:02:06,35,287,5.8,
21:02:36,35,287,6.5,
21:03:06,30,287,5.8,
21:03:36,25,287,5.6,
21:04:07,33,287,5.8,
21:04:37,30,287,8.4,
21:05:07,29,287,5.3,
21:05:37,33,287,5.3,
21:06:07,32,287,5.2,
21:06:38,34,287,5.7,
21:07:08,16,287,5.8,
21:07:38,35,287,5.2,
21:08:08,30,287,8.7,
21:08:39,33,287,5.3,
21:09:09,28,287,5.3,
21:09:39,34,287,5.7,
21:10:09,34,287,8.9,
21:10:40,24,287,5.2,
21:11:10,30,287,5.3,
21:11:40,30,287,5.7,
21:12:10,34,287,5.7,
21:12:41,34,287,5.3,
21:13:11,28,287,6.5,
21:13:41,30,287,6.3,
21:14:11,34,287,5.7,
21:14:42,31,287,5.3,
21:15:12,50,287,5.3,
21:15:42,28,287,6.1,
21:16:12,33,287,5.7,
21:16:42,49,287,5.3,
21:17:13,33,287,5.7,
21:17:43,28,287,5.8,
21:18:13,34,287,4.9,
21:18:43,22,287,4.8,
21:19:14,33,287,9.0,
21:19:44,33,287,5.3,
21:20:14,30,287,5.6,
21:20:44,28,287,5.3,
21:21:15,15,287,5.8,
21:21:45,30,287,5.6,
21:22:15,27,287,5.3,
21:22:45,24,287,5.7,
21:23:16,34,287,6.2,
21:23:46,34,287,6.3,
21:24:16,26,287,5.8,
21:24:46,30,287,7.7,
21:25:17,25,287,5.3,
21:25:47,34,287,5.8,
21:26:17,28,287,4.9,
21:26:47,30,287,5.2,
21:27:17,26,287,4.7,
21:27:48,34,287,5.8,
21:28:18,34,287,8.5,
21:28:48,34,287,5.8,
21:29:18,30,287,5.7,
21:29:49,30,287,4.8,
21:30:19,30,287,5.2,
21:30:49,30,287,5.8,
21:31:19,33,287,6.1,
21:31:50,33,287,5.3,
21:32:20,30,287,5.3,
21:32:50,28,287,5.8,
