ts,gpu%,gpu_mem,cpu%,ram_mb
00:01:02,3,88,5.2,
00:01:32,34,287,5.7,
00:02:02,23,287,5.8,
00:02:32,30,287,5.8,
00:03:02,35,287,5.3,
00:03:33,33,287,5.3,
00:04:03,34,287,5.8,
00:04:33,29,287,5.3,
00:05:03,29,287,5.2,
00:05:34,24,287,5.3,
00:06:04,33,287,6.1,
00:06:34,30,287,4.9,
00:07:04,30,287,8.0,
00:07:35,30,287,5.6,
00:08:05,26,287,5.8,
00:08:35,34,287,8.1,
00:09:05,30,287,6.1,
00:09:36,47,287,5.7,
00:10:06,33,287,9.3,
00:10:36,34,287,5.3,
00:11:06,33,287,6.2,
00:11:37,33,287,8.7,
00:12:07,34,287,5.3,
00:12:37,33,287,5.7,
00:13:07,46,287,5.8,
00:13:37,30,287,5.6,
00:14:08,30,287,5.6,
00:14:38,31,287,4.8,
00:15:08,30,287,5.8,
00:15:38,29,287,5.7,
00:16:09,25,287,5.3,
00:16:39,30,287,5.3,
00:17:09,30,287,6.2,
00:17:39,27,287,5.6,
00:18:10,34,287,6.1,
00:18:40,33,287,5.7,
00:19:10,25,287,5.7,
00:19:40,29,287,5.7,
00:20:11,34,287,6.0,
00:20:41,24,287,4.8,
00:21:11,28,287,5.3,
00:21:41,34,287,5.8,
00:22:12,34,287,5.8,
00:22:42,29,287,4.8,
00:23:12,30,287,5.7,
00:23:42,34,287,8.9,
00:24:13,28,287,5.3,
00:24:43,25,287,5.2,
00:25:13,34,287,5.7,
00:25:43,24,287,4.7,
00:26:13,34,287,5.3,
00:26:44,34,287,5.6,
00:27:14,31,287,6.3,
00:27:44,24,287,5.3,
00:28:14,28,287,4.9,
00:28:45,34,287,4.9,
00:29:15,30,287,5.2,
00:29:45,28,287,5.3,
00:30:15,29,287,5.6,
00:30:46,33,287,9.4,
00:31:16,30,287,5.3,
00:31:46,24,287,6.1,
00:32:16,36,287,5.7,
00:32:47,34,287,5.8,
00:33:17,30,287,4.8,
00:33:47,43,287,5.2,
00:34:17,33,287,9.0,
00:34:48,24,287,6.2,
00:35:18,33,287,5.8,
00:35:48,34,287,6.1,
00:36:18,27,287,7.7,
00:36:48,25,287,4.8,
00:37:19,30,287,5.3,
00:37:49,33,287,6.5,
