ts,gpu%,gpu_mem,cpu%,ram_mb
01:33:20,6,88,5.7,
01:33:50,31,287,5.3,
01:34:20,34,287,5.6,
01:34:51,33,287,5.7,
01:35:21,25,287,4.8,
01:35:51,28,287,5.3,
01:36:21,34,287,5.8,
01:36:52,31,287,5.2,
01:37:22,34,287,4.9,
01:37:52,30,287,9.0,
01:38:22,30,287,5.3,
01:38:53,25,287,4.8,
01:39:23,34,287,5.8,
01:39:53,33,287,8.1,
01:40:23,30,287,5.8,
01:40:54,30,287,5.3,
01:41:24,33,287,8.9,
01:41:54,30,287,5.3,
01:42:24,25,287,5.2,
01:42:54,33,287,5.2,
01:43:25,30,287,8.4,
01:43:55,34,287,5.8,
01:44:25,12,287,6.1,
01:44:55,30,287,5.3,
01:45:26,30,287,5.7,
01:45:56,30,287,4.8,
01:46:26,38,287,5.7,
01:46:56,32,287,5.6,
01:47:27,30,287,5.6,
01:47:57,30,287,5.3,
01:48:27,30,287,5.2,
01:48:57,30,287,6.7,
01:49:28,34,287,6.2,
01:49:58,51,287,6.2,
01:50:28,34,287,5.3,
01:50:58,33,287,4.9,
01:51:29,33,287,5.8,
01:51:59,30,287,5.3,
01:52:29,33,287,9.7,
01:52:59,34,287,5.3,
01:53:30,33,287,6.1,
01:54:00,36,287,5.2,
01:54:30,30,287,5.3,
01:55:00,30,287,5.6,
01:55:30,30,287,4.8,
01:56:01,30,287,5.7,
01:56:31,30,287,5.3,
01:57:01,30,287,5.3,
01:57:31,26,287,4.9,
01:58:02,30,287,5.3,
01:58:32,34,287,5.3,
01:59:02,30,287,5.6,
01:59:32,28,287,5.4,
02:00:03,30,287,5.3,
02:00:33,34,287,5.7,
02:01:03,34,287,5.7,
02:01:33,33,287,7.1,
02:02:04,25,287,5.7,
02:02:34,29,287,5.2,
02:03:04,34,287,5.8,
02:03:34,34,287,5.3,
02:04:05,26,287,5.6,
02:04:35,30,287,6.1,
02:05:05,24,287,4.8,
02:05:35,25,287,5.3,
02:06:06,30,287,5.8,
02:06:36,30,287,8.9,
02:07:06,30,287,5.3,
02:07:36,34,287,6.2,
02:08:07,30,287,5.7,
02:08:37,33,287,6.2,
02:09:07,26,287,4.8,
02:09:37,34,287,6.1,
02:10:07,34,287,9.5,
02:10:38,24,287,6.1,
02:11:08,27,287,5.4,
