ts,gpu%,gpu_mem,cpu%,ram_mb
22:27:35,3,88,5.7,
22:28:05,25,287,5.3,
22:28:36,28,287,5.6,
22:29:06,34,287,5.3,
22:29:36,30,287,5.3,
22:30:06,23,287,6.5,
22:30:37,32,287,5.8,
22:31:07,27,287,5.7,
22:31:37,24,287,4.8,
22:32:07,34,287,5.8,
22:32:38,25,287,8.4,
22:33:08,23,287,5.7,
22:33:38,26,287,5.3,
22:34:08,30,287,5.2,
22:34:39,30,287,5.2,
22:35:09,34,287,5.3,
22:35:39,31,287,5.2,
22:36:09,30,287,5.8,
22:36:40,30,287,5.3,
22:37:10,34,287,5.8,
22:37:40,34,287,5.7,
22:38:10,24,287,5.8,
22:38:41,33,287,6.5,
22:39:11,28,287,5.8,
22:39:41,33,287,5.8,
22:40:11,34,287,5.3,
22:40:41,33,287,5.3,
22:41:12,30,287,5.2,
22:41:42,32,287,5.7,
22:42:12,30,287,5.2,
22:42:42,33,287,5.7,
22:43:13,28,287,5.7,
22:43:43,23,287,5.3,
22:44:13,30,287,5.3,
22:44:43,33,287,5.3,
22:45:14,34,287,5.3,
22:45:44,29,287,5.3,
22:46:14,30,287,5.3,
22:46:44,26,287,4.8,
22:47:15,49,287,5.2,
22:47:45,28,287,8.5,
22:48:15,28,287,5.3,
22:48:45,25,287,6.1,
22:49:16,34,287,5.8,
22:49:46,34,287,6.0,
22:50:16,34,287,5.7,
22:50:46,30,287,6.0,
22:51:17,29,287,4.8,
22:51:47,26,287,4.8,
22:52:17,29,287,4.8,
22:52:47,26,287,4.8,
22:53:17,28,287,4.4,
22:53:48,15,287,5.3,
22:54:18,31,287,5.8,
22:54:48,33,287,5.2,
22:55:19,30,287,9.1,
22:55:49,34,287,5.2,
22:56:19,33,287,5.7,
22:56:49,30,287,5.3,
22:57:19,33,287,5.8,
22:57:50,34,287,5.3,
22:58:20,35,287,6.1,
22:58:50,30,287,5.3,
22:59:20,28,287,5.7,
22:59:51,26,287,4.8,
23:00:21,35,287,5.8,
23:00:51,30,287,9.0,
23:01:21,15,287,5.8,
23:01:52,34,287,5.8,
23:02:22,34,287,4.8,
23:02:52,12,287,7.9,
23:03:22,33,287,5.8,
23:03:52,34,287,4.9,
23:04:23,16,287,5.3,
23:04:53,25,287,7.7,
