ts,gpu%,gpu_mem,cpu%,ram_mb
19:59:08,6,88,9.4,
19:59:39,28,287,6.1,
20:00:09,44,287,6.0,
20:00:39,28,287,11.1,
20:01:09,28,287,5.7,
20:01:40,28,287,6.8,
20:02:10,32,287,6.3,
20:02:40,27,287,7.0,
20:03:10,35,287,6.2,
20:03:41,50,287,5.8,
20:04:11,28,287,7.7,
20:04:41,33,287,5.2,
20:05:11,28,287,6.2,
20:05:42,33,287,9.1,
20:06:12,26,287,5.8,
20:06:42,26,287,6.2,
20:07:12,32,287,8.1,
20:07:42,27,287,6.1,
20:08:13,50,287,6.2,
20:08:43,27,287,7.1,
20:09:13,33,287,5.8,
20:09:43,34,287,6.1,
20:10:14,27,287,8.7,
20:10:44,34,287,6.3,
20:11:14,32,287,6.3,
20:11:44,36,287,10.0,
20:12:15,31,287,6.6,
20:12:45,31,287,6.7,
20:13:15,31,287,6.1,
20:13:45,29,287,6.1,
20:14:16,29,287,7.3,
20:14:46,33,287,6.1,
20:15:16,27,287,5.8,
20:15:46,28,287,5.4,
20:16:17,28,287,6.9,
20:16:47,28,287,5.8,
20:17:17,31,287,6.5,
20:17:47,49,287,5.7,
20:18:18,33,287,6.3,
20:18:48,29,287,6.5,
20:19:18,32,287,6.2,
20:19:48,28,287,6.0,
20:20:19,30,287,6.6,
20:20:49,29,287,6.6,
20:21:19,27,287,10.5,
20:21:49,32,287,5.9,
20:22:19,31,287,6.3,
20:22:50,27,287,8.6,
20:23:20,31,287,5.8,
20:23:50,49,287,5.3,
20:24:20,32,287,7.0,
20:24:51,33,287,5.4,
20:25:21,30,287,6.5,
20:25:51,31,287,6.3,
20:26:21,35,287,6.2,
20:26:52,30,287,6.2,
20:27:22,34,287,6.5,
20:27:52,35,287,7.0,
20:28:22,29,287,6.5,
20:28:53,37,287,6.2,
20:29:23,28,287,6.7,
20:29:53,33,287,6.2,
20:30:23,31,287,5.4,
20:30:54,27,287,5.7,
20:31:24,28,287,6.3,
20:31:54,30,287,6.5,
20:32:24,33,287,6.1,
20:32:55,29,287,6.2,
20:33:25,51,287,6.2,
20:33:55,33,287,6.1,
20:34:25,27,287,5.4,
20:34:55,26,287,5.8,
20:35:26,27,287,9.5,
20:35:56,28,287,6.3,
20:36:26,49,287,5.7,
20:36:56,26,287,10.2,
20:37:27,26,287,6.7,
20:37:57,31,287,6.8,
