#{"t_start": 1784568096.6273847, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-291.10976,112,1.137523
-366.980017,112,1.333375
-263.03691,108,1.504158
-78.713466,84,1.643532
-173.954877,74,1.739969
-238.444582,208,2.095712
-176.267378,185,2.3985
-219.314115,119,2.606582
-143.508881,109,3.377424
-87.102696,106,3.559462
-460.631099,124,3.763489
-163.716115,132,3.980876
-302.088623,115,4.17118
-24.224388,80,4.30496
-221.310582,149,4.56451
-351.662172,99,4.739486
-51.92467,86,4.880709
-223.248017,117,5.788533
-182.169242,99,5.952549
-131.792799,108,6.137388
-75.866122,92,6.292611
-114.147597,79,6.425164
-53.585034,116,6.621561
-194.216734,136,6.852684
-47.062232,78,6.985372
-396.962657,193,7.321614
-257.75131,209,8.146525
-118.912555,92,8.303391
-20.947579,75,8.433084
-68.299354,99,8.586881
-229.579588,120,8.779571
-136.745231,153,9.027625
-128.438469,178,9.337756
-100.877142,134,9.574066
-206.80849,109,10.456187
-60.18823,73,10.580911
-129.599628,164,10.871306
-110.27381,93,11.027756
-48.809102,99,11.202488
-92.017214,71,11.326703
-120.198498,137,11.583324
-122.199359,130,11.80556
-29.269696,98,11.978862
-66.711245,86,12.60439
-144.571641,121,12.81666
-159.60774,145,13.065609
-274.995262,134,13.301395
-104.294251,145,13.562778
-9.835881,102,13.746758
-236.887575,125,13.955904
-60.800281,146,14.206758
-191.349063,115,15.144619
17.246708,1000,17.335482
-174.878061,99,17.507658
-48.077286,156,17.779843
-72.161373,82,17.915395
-389.77142,861,20.230764
-36.552102,125,20.455089
-63.221717,119,20.655332
-222.314104,174,20.957459
-54.719252,104,21.137403
72.632817,1000,23.348364
-119.934995,123,23.561515
-68.278659,92,23.709954
-67.173262,112,23.904439
-61.580112,130,24.960736
-26.748773,83,25.106951
-22.669018,141,25.348789
-17.698037,129,25.561342
-37.642207,120,25.764
-38.943927,124,25.972624
-116.197361,95,26.133784
-136.157191,143,26.390988
-71.994892,125,27.087864
5.405911,162,27.366183
-3.15641,135,27.608351
-101.418785,183,27.925926
-57.67821,154,28.197607
-116.304736,115,28.406342
-51.39797,158,28.683724
-99.369747,164,29.790482
-50.195856,129,30.014842
-57.647387,100,30.185699
-9.647874,133,30.416483
-12.453501,146,30.665448
-42.149232,120,30.88712
-3.599109,106,31.073802
-0.827673,144,31.326103
-6.478134,166,32.062947
21.113549,170,32.356486
-2.532832,95,32.518089
-15.488195,122,32.735965
-61.955791,146,33.005784
33.92173,148,33.255355
-18.929607,130,33.481192
-79.20681,112,34.51979
-13.012018,167,34.807684
-48.469395,138,35.049186
-39.382046,112,35.247313
-8.933566,147,35.505794
-32.401856,139,35.751724
-3.827667,110,35.944043
-6.270998,123,36.158651
34.596963,118,36.782919
-14.103051,133,37.024534
13.794812,140,37.271307
38.087587,99,37.451916
82.279606,1000,40.067514
110.435376,1000,42.277771
2.528501,160,42.560808
119.88994,1000,45.260665
-1.010754,143,45.512703
12.28944,123,45.73425
9.732563,130,45.967234
-23.610028,155,46.721606
-23.446551,129,46.952468
122.454295,1000,49.776828
-1.123114,121,49.994601
6.863306,156,50.276175
104.120286,1000,52.551126
-38.110412,148,52.800231
94.772439,1000,55.662534
121.694775,1000,57.895911
29.490567,114,58.106709
4.97338,146,58.378498
115.429329,1000,61.337741
66.730999,129,61.558425
21.237059,181,62.35464
-15.630941,1000,64.123377
27.038044,190,65.876919
139.059648,1000,68.065507
130.730733,1000,71.198441
97.835631,1000,73.405626
42.994229,143,73.66604
97.183524,1000,76.874326
14.48481,147,77.128199
26.187397,181,77.445569
27.06513,1000,79.623493
148.982026,1000,82.865623
150.226992,1000,85.056519
109.84026,1000,88.377564
136.764449,1000,90.624379
152.296374,1000,94.03527
139.63537,1000,96.295609
134.389461,1000,99.483914
71.982704,1000,101.729095
136.496414,1000,104.670541
26.103005,190,105.002921
117.409951,1000,107.232774
124.474305,1000,110.725165
144.516704,1000,112.945648
132.496327,1000,116.18282
146.526107,1000,118.331482
36.99313,216,118.693576
165.537998,1000,121.879378
141.470978,1000,124.10386
67.956556,1000,127.316679
31.67004,234,127.739376
19.456546,205,128.093709
116.923731,1000,130.29658
33.991667,217,132.233031
88.479801,1000,134.46242
109.144652,1000,137.825703
149.034622,1000,140.065129
171.688967,1000,143.625327
103.627386,1000,145.879783
137.228183,1000,147.625034
165.390922,1000,151.226234
187.536996,1000,153.396852
189.047868,1000,156.771004
184.361669,1000,159.032564
157.062075,1000,162.377584
161.285378,1000,164.617593
186.716523,1000,167.977619
134.905384,1000,170.139357
