#{"t_start": 1785251839.3999817, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-507.420372,110,1.283981
-82.398498,95,1.41778
-93.810127,112,1.575647
-211.857521,88,1.688262
-465.881422,106,1.828269
-97.521799,171,2.034445
-51.938901,91,2.157373
-533.01263,138,2.357791
-161.595803,80,2.486236
-152.651358,101,4.637995
-352.5578,129,4.858719
-252.858661,139,5.091273
-66.806462,95,5.235928
-88.78646,161,5.466473
-153.25448,159,5.737536
-338.847848,94,5.902949
-167.245355,117,6.097025
-41.114464,90,8.328467
-17.281808,88,8.488483
-81.951482,128,8.701293
-271.061101,121,8.923645
-190.873816,68,9.039008
-381.267527,107,9.232902
-91.620209,146,9.493979
-183.929547,126,9.718907
-239.471043,93,9.883302
-217.963388,76,10.02004
-78.788418,85,12.067417
-44.192237,145,12.328021
-19.388435,196,12.679969
-82.102792,76,12.814013
-185.972755,110,13.006268
-67.62695,112,13.210773
-334.788029,132,13.45842
-201.23295,110,13.660126
-136.667065,105,16.075877
-167.56565,123,16.294767
-107.714502,96,16.471148
-44.266349,102,16.63898
-73.354322,87,16.800649
-120.20022,189,17.129844
-162.508712,142,17.379127
-71.750029,99,17.546066
-159.307436,137,17.779346
-117.353571,158,19.947914
-62.451056,140,20.208734
-42.001281,155,20.492103
-57.100294,109,20.675699
-48.4627,146,20.928257
-77.290056,156,21.198839
-101.103743,172,21.499225
-159.342539,119,23.88568
-102.709624,96,24.063484
-128.989347,140,24.321467
-137.276318,157,24.619185
-24.681813,140,24.873081
-117.958356,157,25.152958
2.403589,112,25.357882
-108.364692,103,25.543628
-6.567212,103,27.608584
-55.410596,146,27.871684
-67.410823,194,28.213754
-48.211305,99,28.400892
-65.289244,185,28.749336
-26.594163,92,28.903697
-161.145155,172,29.218924
-153.924659,99,31.645548
-25.08226,136,31.896262
2.52726,90,32.052285
-33.504851,161,32.335439
-131.306595,183,32.665561
-37.269186,78,32.809806
-55.42573,131,33.063104
-7.496676,146,33.336438
-70.033516,89,35.39166
-3.234596,176,35.708851
-35.635608,162,35.998994
-5.426878,132,36.240771
-21.398206,131,36.462687
-15.506955,132,36.705616
-4.029467,120,36.919968
-156.277675,144,37.190471
-26.942301,149,39.698058
-0.371035,153,39.978458
-43.641003,131,40.217369
39.980924,105,40.41778
-41.295235,147,40.690002
8.948138,92,40.851954
-22.134844,140,41.109052
45.877088,176,43.341102
-5.069895,141,43.594183
-144.76032,239,44.030597
44.096933,96,44.202373
-7.738678,142,44.452774
-20.257543,91,44.604248
37.564592,139,44.867357
-85.493568,128,47.679188
-27.357623,136,47.914559
16.995573,93,48.088777
-72.332248,110,48.284412
-10.085856,162,48.577912
-43.181262,1000,52.329648
-1.374039,112,52.529624
-13.990383,1000,57.158154
35.953884,133,57.401324
34.982241,1000,61.06547
14.729391,97,61.231765
-0.493374,130,61.455907
-11.537819,91,61.626527
-9.100252,119,64.518004
55.138075,116,64.732219
38.04371,1000,68.481778
-15.698414,134,68.731466
84.816945,1000,73.248161
6.526222,148,73.525955
85.638567,1000,77.208951
17.737728,1000,81.597597
-17.618862,1000,85.287751
-42.608062,1000,89.767614
19.2882,1000,93.505212
77.844655,1000,97.967304
1.954975,1000,101.673629
11.211788,1000,106.170315
82.320993,1000,109.8562
49.570178,1000,114.396156
9.950958,225,114.779416
140.688437,1000,118.507099
128.737328,1000,123.198403
107.879296,1000,126.92924
142.421873,1000,131.365762
28.31913,1000,135.061095
156.614875,1000,139.756652
129.241097,1000,143.474822
140.019731,1000,148.068074
103.077056,1000,151.728822
85.521733,1000,156.308565
14.854654,197,156.638699
127.789981,1000,160.312296
117.360164,1000,164.839583
129.663655,1000,168.526592
140.312996,1000,173.091556
169.958484,1000,176.704078
182.379501,1000,181.004988
127.959745,1000,184.592115
128.077034,1000,188.978836
140.703263,1000,192.545035
139.001604,1000,197.18715
148.429865,1000,200.689384
105.008254,1000,205.070169
140.641351,1000,208.564709
120.51101,1000,212.970333
121.868524,1000,216.365262
132.364641,1000,221.048539
60.096449,242,221.491771
167.705849,1000,225.006487
151.926934,1000,229.499214
169.770882,1000,232.893265
124.41409,1000,237.51249
156.597311,1000,240.91511
147.565464,1000,245.272075
110.408347,1000,248.815026
129.954735,1000,253.216388
175.568985,1000,256.601783
