#{"t_start": 1784573381.885469, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-360.441774,143,1.062231
-83.117748,105,1.20171
-39.866752,94,1.333754
-293.844624,99,1.467411
-71.713705,82,1.575392
-99.722019,83,1.680788
-278.323779,124,1.84742
-276.397973,119,2.012621
-313.035126,89,2.130028
-301.791313,89,6.476232
-31.217477,76,6.577687
-272.607214,143,6.773035
-197.261245,80,6.88428
-395.238562,166,7.109751
-107.965935,107,7.260861
-281.268718,125,7.434436
-112.462616,94,7.569271
-32.692084,136,7.755243
-20.64761,92,7.886359
-80.179731,79,9.881538
-219.406824,144,10.068508
-302.603162,131,10.244274
-178.936315,125,10.416996
-92.549437,88,10.538445
-225.035843,118,10.695858
-297.212266,98,10.826044
-140.145021,130,11.00341
8.488427,110,11.148228
-98.876304,115,15.568748
-287.133612,101,15.705667
-55.834839,107,15.857252
-72.608484,83,15.976377
-121.646611,113,16.133126
-8.498422,164,16.36052
-118.574888,164,16.57949
-16.711891,90,16.699109
-47.34498,135,21.229708
-53.318454,139,21.424479
-100.048779,85,21.539234
-51.956728,139,21.72617
-79.990237,74,21.833789
-31.297235,92,21.961476
-187.220647,127,22.144212
-258.770064,158,22.364987
-57.196191,101,22.504548
16.187449,94,26.433295
-39.524436,159,26.652573
-44.89432,269,27.016915
-21.675943,84,27.132292
-34.946914,100,27.270116
-70.896943,121,27.425225
-50.721598,161,27.639723
-12.207872,114,32.325211
-84.260189,147,32.521757
-22.007554,131,32.691185
3.712706,130,32.861946
-97.102062,133,33.034329
-117.730179,89,33.152146
-150.775697,145,33.348647
-26.428064,98,33.486133
-33.89026,141,37.860168
-56.409511,151,38.068277
-48.341209,91,38.197036
-22.147117,121,38.354896
-24.374785,173,38.583617
-8.22158,82,38.692229
-3.807868,131,38.868547
-49.037379,143,39.06545
-59.389915,89,39.179034
-54.224284,142,43.733667
-81.534131,158,43.947622
-50.027752,164,44.167277
-44.343356,114,44.331092
-57.428986,171,44.569748
3.487412,85,44.684286
-3.018165,114,44.834057
-57.813292,97,44.967146
-35.266962,127,49.311726
-44.654887,143,49.509331
-52.698737,149,49.710759
-10.913924,116,49.86936
-38.483036,122,50.03976
-15.890916,117,50.199995
2.229977,147,50.404808
-17.610045,136,55.132455
35.912055,122,55.299722
11.975183,195,55.564552
-26.17398,1000,61.015493
18.747299,134,61.196525
-180.112382,571,61.97424
-49.582332,116,65.930824
8.386671,157,66.143196
-46.804728,138,66.33103
9.797666,97,66.463108
-16.644456,149,66.660703
22.461859,122,66.825155
26.723111,178,67.066894
14.224229,165,71.159532
20.420335,111,71.312481
8.952292,226,71.611804
31.09515,105,71.753104
-18.400905,1000,75.946048
-2.964696,130,76.121311
33.150645,1000,81.678759
44.918458,1000,86.950957
29.383889,1000,92.275398
33.737954,193,92.542288
15.281474,1000,98.356207
0.382297,1000,103.864644
-20.422167,272,104.227252
7.978452,1000,110.382468
54.374951,1000,115.833419
80.603209,1000,122.086174
52.996091,1000,127.604088
95.502539,1000,132.138654
70.138637,1000,137.667484
92.31083,1000,141.521148
18.943028,238,146.024585
87.211166,1000,151.485628
109.371169,1000,152.836955
131.517726,1000,157.68989
96.854922,1000,161.529997
-7.673253,236,164.737309
132.210475,1000,170.694073
38.243967,238,171.016542
130.406259,1000,176.494205
78.922621,1000,182.413376
120.2626,1000,187.964771
142.958036,1000,191.634576
64.053977,195,191.902209
53.286304,271,192.27688
183.210441,1000,195.378307
120.12131,1000,198.997959
124.053495,1000,202.12164
-1.915115,217,202.429296
47.519412,169,207.155857
148.831906,1000,212.712943
149.470429,1000,214.07969
154.661966,1000,220.258678
151.440588,1000,225.915986
161.939294,1000,229.606058
96.4407,1000,232.7497
166.435547,1000,236.378496
20.491532,211,240.980874
57.824991,189,241.24044
178.940525,1000,244.880659
138.035357,1000,248.961227
134.86342,1000,254.818938
140.154663,1000,260.36666
176.002211,1000,265.327973
186.549723,1000,270.995195
146.647398,1000,276.915376
154.905157,1000,282.447754
125.005266,1000,286.185759
145.103823,1000,289.451781
179.377798,1000,293.027023
160.214387,1000,294.377726
150.064364,1000,299.759403
167.878052,1000,305.934917
163.951176,1000,309.321221
190.193661,1000,315.376203
153.892569,1000,320.930332
