#{"t_start": 1785161636.3954315, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-41.663722,124,0.825118
-76.078641,76,0.955047
-209.838736,81,1.103692
-176.847754,80,1.242354
-118.221656,129,1.471002
-475.005866,104,1.657512
-218.763618,111,1.859374
-294.600197,130,2.074971
-24.517683,80,2.206549
-469.085122,102,2.385739
-263.084982,95,4.461191
-146.254477,137,4.698021
-94.400423,93,4.854724
-282.651571,173,5.166248
-216.707504,103,5.347774
29.166059,94,5.510775
-242.808711,111,5.703481
-273.580913,117,5.90075
-144.711699,170,8.0723
-289.679277,121,8.297797
-74.561694,115,8.506272
-118.386021,119,8.72021
-63.418198,86,8.87489
-46.920197,98,9.056814
-275.283337,136,9.299669
-87.940587,95,9.476067
-229.312285,158,9.750471
-116.977637,129,11.736323
-59.362322,69,11.858416
-109.853449,147,12.117853
-157.19892,120,12.329387
-177.8013,133,12.563642
-90.645926,93,12.727375
-231.241923,123,12.943511
-45.005851,105,13.130025
-84.90688,100,13.308238
-138.199414,150,15.494588
-116.643266,171,15.796269
-41.696718,74,15.937328
-84.31046,70,16.061309
-121.514063,96,16.233569
-214.518477,123,16.447064
-80.409857,122,16.648373
-53.393353,101,16.824552
-209.35444,146,17.082771
-1.956023,89,18.921126
-71.096898,68,19.038347
-10.22607,87,19.189637
-86.880867,89,19.333484
-74.791325,122,19.538587
-99.960017,121,19.743484
-86.674858,76,19.872416
-66.671446,115,20.070657
-111.110728,130,20.294123
-82.171143,106,20.473715
-12.083851,136,22.675745
-169.241256,195,23.020341
-57.078214,72,23.152392
-25.997289,137,23.396283
-7.454172,121,23.616059
-48.540615,104,23.805703
-106.250409,129,24.038671
-60.109278,139,24.288885
25.280334,1000,27.811473
-69.556481,94,30.065357
-42.474423,86,30.231838
-12.284214,136,30.47584
13.554374,153,30.751565
-94.090867,110,30.943015
-49.184325,193,31.298674
-71.341834,122,31.509454
-15.036314,173,31.833819
-61.010088,114,33.89772
-37.422787,93,34.069963
-44.508732,100,34.252861
-25.269002,124,34.47853
-21.614338,100,34.66146
-18.204822,85,34.804015
-52.813965,129,35.038899
-45.750616,149,35.290999
-56.002466,120,35.50845
-23.243137,160,38.012528
2.018095,130,38.241476
9.699174,134,38.484618
-37.807052,91,38.643979
-26.377977,119,38.861084
-30.039403,153,39.142353
25.373198,82,39.296825
-49.38028,147,39.554462
-61.528845,94,41.516933
-38.03968,134,41.758603
-52.837442,141,42.013849
-7.023826,138,42.253836
-12.190388,107,42.438303
-39.568385,130,42.67341
1.191594,160,42.956913
-83.927329,112,43.156812
-85.332162,101,45.422186
-29.69399,127,45.648738
-58.457839,99,45.81127
-13.047543,111,46.009321
-52.473785,122,46.22251
-42.631722,103,46.413404
-51.725072,136,46.65783
-79.828741,81,46.810064
-51.565129,76,46.94772
-25.611887,154,48.979641
-4.630669,119,49.193474
-15.547401,110,49.388738
-12.434358,140,49.631602
6.919334,131,49.869455
19.709832,148,50.124371
6.941271,95,50.29752
-22.490109,129,50.529109
-76.747804,177,52.948751
-7.661161,152,53.218834
-133.142117,172,53.527789
-68.288715,200,53.892262
8.518656,119,54.105409
11.366639,114,54.31892
-80.220648,125,54.527565
19.541824,101,56.413577
30.164179,101,56.589978
15.435802,132,56.822094
-16.572394,120,57.027214
-31.288676,141,57.289801
11.90209,128,57.534869
-61.403654,95,57.708941
-34.168897,130,57.935489
18.38496,136,58.179917
17.2434,130,60.642861
-52.887612,129,60.865718
-10.254355,181,61.189624
1.792577,116,61.399996
80.962825,1000,65.02088
8.579221,127,65.249612
-0.815573,146,65.521186
17.551029,190,65.866379
19.519598,169,68.831522
74.779722,1000,72.384433
37.78108,96,72.560628
-15.771286,129,72.783853
-36.928528,150,73.054553
63.023916,1000,77.251135
13.350602,185,77.590169
30.956503,170,77.89222
68.699557,1000,81.570898
83.134742,1000,86.094278
104.653324,1000,89.734936
83.144577,1000,93.951283
92.53713,1000,97.65972
41.796956,1000,102.156392
16.873929,227,102.555786
32.873579,1000,106.000779
92.447877,1000,110.707576
-29.974495,225,112.781782
61.965147,1000,117.05809
102.270831,1000,120.685624
12.408994,190,121.047317
-30.489046,184,121.380746
6.148461,118,121.597143
128.033038,1000,125.842223
-8.883487,165,126.135701
131.113335,1000,129.562555
169.578181,1000,133.925447
134.894276,1000,137.430334
150.268709,1000,142.065546
6.788613,192,142.423003
-145.456895,449,144.909367
82.056138,1000,149.506222
174.24121,1000,152.965919
10.045083,191,153.293738
0.853257,150,153.550298
104.716116,1000,157.895132
-3.178484,180,158.207263
60.552529,191,158.555489
93.082096,1000,162.22409
135.414427,1000,166.939227
164.233481,1000,170.545403
41.275111,224,170.954073
-30.288979,197,174.290299
117.222822,1000,177.751657
71.719348,1000,182.697327
58.739664,225,183.102149
31.834434,175,183.427615
77.567398,1000,186.920503
59.151363,1000,191.46345
38.325483,158,191.731647
149.280115,1000,195.302125
41.755219,229,195.710803
157.394411,1000,200.281017
152.598787,1000,203.938151
2.465637,160,204.221503
32.591389,156,207.216482
125.324822,1000,210.669223
20.939138,187,211.001912
67.55933,173,211.309354
87.792402,1000,215.634419
13.904839,190,215.961782
98.640161,1000,219.436283
133.834778,1000,223.807601
51.330475,153,224.078679
3.467048,166,224.365194
20.65324,159,224.627437
122.917796,1000,228.286456
-2.124086,1000,232.736291
108.684723,1000,236.287366
113.348454,1000,241.082097
85.990898,1000,244.740362
106.721668,1000,250.923842
102.603999,1000,254.540971
