#{"t_start": 1785161899.83726, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-395.588878,102,0.750629
-429.649316,112,0.9568
-407.838273,110,1.151233
-395.065427,88,1.304016
-83.366784,128,1.525379
-79.662165,69,1.653688
-59.12489,75,1.786855
-394.309385,101,1.959411
-394.3392,162,2.252059
-311.841769,148,4.22754
-259.318065,159,4.506355
-264.455113,126,4.727922
-121.018488,79,4.865638
-211.457863,109,5.053491
-49.914935,147,5.313994
-44.643219,82,5.451104
-381.217307,106,5.644743
-184.896058,87,5.810264
-298.031613,64,7.898825
-80.932008,79,8.037451
-356.884972,108,8.234073
-330.696362,145,8.474469
-401.300051,94,8.635165
-207.247573,100,8.817127
-87.317682,120,9.039159
-23.186534,73,9.166163
-179.300473,95,9.331365
-137.413433,136,9.576113
-223.042086,122,11.699955
-207.357773,120,11.913045
-107.557327,69,12.040828
-260.71117,87,12.19838
-69.165987,111,12.398601
-151.243674,120,12.604084
-122.228654,76,12.742069
-98.655257,136,12.985746
-135.092223,151,13.2421
-113.906292,111,15.349657
-108.80235,88,15.507785
-232.598175,109,15.709558
-340.780538,163,16.001916
-140.508057,106,16.181663
-46.428064,86,16.322929
-151.264046,90,16.476829
-56.868534,73,16.601737
-116.352074,100,16.776333
-91.030444,118,16.985622
-49.039718,70,17.114745
-97.92065,157,19.293407
-55.2435,82,19.430973
-59.314178,67,19.55603
-91.551733,78,19.691674
-215.471035,125,19.92372
-211.361033,118,20.139035
-89.041576,81,20.285785
-79.748569,81,20.435793
20.959443,136,20.673665
-94.310201,88,20.824278
-54.412776,93,23.101538
-119.219789,91,23.269979
-110.204276,96,23.439532
-26.427086,77,23.567023
-93.727773,83,23.718881
25.731744,1000,27.405301
-12.686142,84,27.548967
-90.2452,86,27.699774
-196.241577,140,27.961019
8.684921,80,28.113037
-185.401991,92,28.27498
-68.522541,112,28.476201
-39.138578,199,31.115613
-12.341034,124,31.338614
-86.961872,114,31.54045
-75.031626,81,31.677317
-46.751078,157,31.959387
-132.555978,171,32.2729
-78.794956,179,32.604541
-22.174901,110,34.473765
-32.344975,72,34.606706
-110.345299,144,34.871901
-256.764511,190,35.197318
-38.173834,94,35.370003
25.417905,85,35.527415
-60.347852,120,35.737515
-41.497019,98,35.916496
-80.666425,109,36.116642
-13.020289,153,38.570693
-192.236209,345,39.186472
-3.129499,83,39.334725
-46.37859,154,39.611085
-59.232289,138,39.850749
3.990585,133,40.083351
-7.815837,97,41.920856
-294.194649,210,42.282864
-70.8892,117,42.491527
-94.302219,182,42.810162
-1.929813,212,43.180965
-64.185432,165,43.472842
-74.876612,138,46.119648
-60.999395,95,46.286848
-61.788582,125,46.508695
-18.336514,136,46.748188
-13.469098,105,46.932668
-106.629288,172,47.237754
-54.749343,148,47.48394
-56.064841,95,47.649301
-48.150032,139,49.595741
21.649182,181,49.926111
-18.005974,120,50.144244
8.351796,89,50.312115
-63.390216,200,50.665858
-13.44738,120,50.885771
-18.349005,109,51.076623
-33.469247,109,51.271665
-42.421857,1000,55.635811
-10.91695,110,57.556442
-0.655231,112,57.745989
20.752323,87,57.899697
-38.28287,1000,62.416159
-6.995415,199,62.773124
-30.871228,254,63.208751
-69.14313,93,63.381787
80.043742,211,63.765411
1.409149,93,65.601467
-20.344171,143,65.856816
23.953494,204,66.215138
-69.759643,165,66.524017
42.182437,200,66.879808
-12.085281,147,67.139538
-22.687961,134,67.378892
10.027589,149,70.32988
8.561527,194,70.685841
-30.752415,161,70.976437
23.323496,162,71.265328
18.934193,178,71.589898
-23.542963,163,71.877807
20.304104,132,73.80683
-26.229345,228,74.206581
-22.834098,146,74.464794
18.212416,1000,78.826961
12.659014,190,79.163091
-42.635548,220,79.557663
-11.779489,230,81.769776
-33.551716,170,82.065612
-19.572909,163,82.35216
-1.30164,201,82.696729
10.797686,173,83.001145
38.054628,1000,87.601615
41.765078,169,87.901951
19.26685,173,90.06177
-189.624278,227,90.478852
41.31084,113,90.67742
18.766023,133,90.905767
-25.825448,165,91.204318
88.86452,1000,95.349899
32.583519,132,95.580338
85.295992,1000,99.291857
-0.572663,156,99.579442
103.435683,1000,104.310623
26.714363,146,106.495184
20.281321,119,106.70433
-95.599502,448,107.485999
80.324617,1000,112.171966
-33.374503,174,112.483931
66.325295,1000,116.074849
91.142007,1000,120.925664
134.627181,1000,124.395762
73.249516,1000,129.374892
2.802025,235,129.801216
30.835755,242,131.949616
-8.933291,275,132.441059
142.052708,1000,137.610076
126.110476,1000,141.288309
42.895542,224,141.682827
0.500171,219,142.074531
52.136063,230,145.538764
27.076838,231,145.947334
71.768688,174,146.255174
48.212003,192,146.602965
52.497124,196,146.961829
74.171927,1000,150.678476
160.877721,1000,155.107359
140.269872,1000,158.819028
24.741699,172,159.121372
153.055957,1000,163.846533
114.90689,1000,167.535679
33.932758,187,171.062621
120.513964,1000,172.8477
135.819426,1000,176.522964
163.134738,1000,181.200744
153.154677,1000,184.666081
173.022325,1000,189.327562
133.355707,1000,193.012325
168.530057,1000,197.807958
152.585964,1000,201.329286
171.789214,1000,206.173208
139.816932,1000,209.863755
164.44584,1000,214.583491
130.69433,1000,218.170788
146.786132,1000,222.855818
175.810105,1000,226.336016
-19.348043,212,226.70655
143.326379,1000,231.42788
168.032259,1000,234.8495
146.687152,1000,239.421849
175.20181,1000,243.081811
168.631064,1000,248.060769
151.553386,1000,251.745586
147.699104,1000,256.55125
143.5123,1000,260.230881
