#{"t_start": 1784556989.232389, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-436.700987,91,1.361839
-588.614838,128,1.577422
-193.391865,86,1.720723
-273.690694,82,1.868714
-62.115471,98,2.029681
-343.188449,163,2.307574
-106.826136,161,2.592642
-327.710716,153,2.841192
-376.877734,163,3.673319
-313.670809,107,3.861622
-25.028488,86,4.007487
-42.498469,90,4.155334
-80.683223,101,4.308122
-22.862807,130,4.520642
-82.376118,80,4.658651
-54.383435,117,4.867041
-526.082033,105,5.04876
-208.464523,91,5.214874
-183.682173,79,5.977852
-280.855784,128,6.202273
-228.710551,124,6.425048
-291.389525,141,6.657667
-102.924694,102,6.826402
-218.227917,95,6.997014
-257.122102,105,7.188647
-216.92983,99,7.367335
-91.167762,88,7.517046
-463.978266,97,8.113535
-21.128275,1000,9.886013
-61.843498,111,10.701437
-53.067633,127,10.921221
-47.665313,147,11.171837
-61.438185,134,11.397921
-60.235655,89,11.556351
-89.024654,88,11.702911
-17.10494,89,11.864347
-104.374878,112,12.044519
-154.225909,170,12.748035
-161.686307,123,12.970788
-53.647738,108,13.161196
-172.9024,109,13.34638
-111.77291,119,13.549621
-140.783322,83,13.691987
-103.715922,98,13.873134
-41.324077,86,14.032351
-97.403222,117,14.230683
-103.21851,122,14.439874
-142.119643,114,15.309309
-65.025157,73,15.432221
-73.19333,96,15.606041
-59.171556,88,15.765713
-82.745726,145,16.024386
-154.879693,119,16.225337
-173.268124,99,16.394381
-92.014532,164,16.679173
-105.684338,71,16.797573
-104.013196,99,17.438297
-191.943085,169,17.720853
-114.033579,124,17.933812
-113.891636,76,18.059015
9.18852,88,18.211781
-103.95322,164,18.49625
-70.968847,90,18.656205
-105.503446,132,18.875215
-54.453574,86,19.024272
-33.956473,93,19.934167
-110.824811,142,20.189489
-109.034078,115,20.397477
-88.050274,79,20.535776
-73.286013,123,20.751784
-117.589422,99,20.920276
-39.856571,99,21.100972
-61.551554,119,21.299925
-45.95918,119,21.512797
-63.130218,147,22.214495
34.961045,115,22.407831
-73.603621,119,22.614906
-50.270487,90,22.768726
-60.47191,93,22.936466
-9.611315,122,23.152845
-57.006531,83,23.293025
-38.248396,135,23.527377
-14.562483,130,23.755835
-14.326193,94,23.914474
-141.380805,145,24.971875
-31.352599,100,25.142927
-57.034197,111,25.336283
4.489178,96,25.504948
-80.297848,103,25.67516
-92.302204,129,25.903465
-65.865689,74,26.032849
-19.220475,130,26.259753
-21.600648,109,26.449419
-97.137398,159,27.208522
23.293359,88,27.353553
-21.958837,100,27.525419
27.554213,145,27.780287
-56.875937,132,28.010734
-55.035263,161,28.295901
-36.279803,153,28.5704
-44.430046,113,28.768816
-27.42557,87,29.677613
-38.609051,100,29.851134
-10.08457,133,30.086267
-16.860072,114,30.289724
-37.745792,140,30.5339
-12.868625,80,30.674078
-67.466337,102,30.850635
-60.218153,106,31.032464
14.254347,102,31.203272
-29.930824,125,31.900194
-28.731259,126,32.119998
12.133055,130,32.350416
-13.036821,132,32.579429
17.583743,1000,35.27314
-32.106983,127,35.494964
58.00144,113,35.693552
19.570761,148,35.943144
-13.172765,127,36.163563
10.205839,114,36.82664
-21.863483,130,37.047348
-23.061274,122,37.261835
-13.403303,139,37.48641
-13.658527,121,37.697721
56.495164,1000,40.396113
-6.155332,114,40.597392
-18.385514,154,40.871416
20.384517,90,41.04074
5.763364,122,41.255319
-4.333102,145,41.969826
-8.459074,120,42.17
-3.881747,146,42.429723
-128.561387,498,43.310404
4.339031,158,44.675827
5.847892,172,44.99002
70.495273,111,45.191263
135.711534,1000,47.365229
73.619242,164,47.6447
4.469445,128,47.868873
1.113186,100,48.049152
107.682524,1000,50.903658
39.149752,132,51.131721
-2.976575,181,51.457318
35.470258,122,52.083562
48.615561,137,52.318924
-2.060886,143,52.568016
37.985367,115,52.772708
39.612322,122,52.982385
3.339325,114,53.187734
82.313793,1000,56.118243
48.320053,114,56.317996
12.096053,164,56.610426
20.85135,1000,58.81436
92.451289,1000,61.74042
94.250003,138,62.396882
79.962122,1000,64.155038
33.875112,131,65.546645
30.630431,162,65.829245
46.514718,156,66.106603
98.942309,1000,68.300437
42.383961,163,68.570344
27.854814,128,68.791382
70.218866,144,69.053974
54.468044,127,69.266394
133.914726,1000,72.069683
60.849332,124,72.704004
59.316136,166,73.009234
5.3316,153,73.268755
150.243536,1000,76.16614
179.711427,1000,78.339607
171.069569,1000,81.269399
136.834796,1000,83.417072
15.689276,157,83.683285
155.751649,1000,86.553761
66.597926,139,86.792598
155.555029,1000,88.993707
75.171225,175,89.310086
143.520268,1000,92.064287
126.047176,1000,94.267673
33.95157,146,94.524616
61.952688,137,94.758559
140.142638,1000,97.613785
180.312796,1000,99.842039
31.583623,140,100.094425
172.222735,1000,103.019807
183.149029,1000,105.239718
188.604864,1000,108.06699
143.900406,1000,110.250802
152.178091,1000,113.145678
26.110479,165,113.909092
134.619963,1000,116.829885
181.325856,1000,118.557301
186.821962,1000,120.780729
125.57252,1000,123.683283
179.107808,1000,125.842101
121.899706,1000,128.78794
140.380322,1000,130.977657
161.262806,1000,133.860535
182.624733,1000,136.110297
153.873145,1000,139.084778
193.158303,1000,141.283031
146.555858,1000,144.210234
137.379125,1000,146.390463
158.716227,1000,149.330753
85.269818,163,149.61984
204.735047,1000,151.772557
177.702993,1000,154.649774
151.796293,1000,156.778318
156.19376,1000,159.687723
199.878493,1000,161.844215
