#{"t_start": 1785162166.4644606, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-395.432177,111,1.519495
55.186463,1000,5.198472
-85.659611,115,5.393734
-141.311831,76,5.530778
-321.572524,147,5.776453
-51.384664,113,5.978068
-84.575185,97,6.149621
-208.321772,107,6.342766
-161.73862,147,6.606113
-334.923863,101,6.779677
-85.770388,71,9.054089
-72.024949,75,9.188601
-50.614996,137,9.435927
-294.932981,107,9.61653
-106.791025,93,9.786567
-77.299165,89,9.94442
-121.359826,108,10.138435
-125.71936,107,10.333472
-89.920781,87,10.488618
-77.521901,86,10.637194
-101.762067,105,12.724778
-57.824712,89,12.884684
-229.502573,111,13.080621
-129.881257,143,13.330585
-127.82182,156,13.612712
-207.623698,114,13.814366
-192.405846,106,14.006412
1.695275,126,14.235864
-72.258632,159,14.530095
-89.410039,86,17.137724
-118.628,133,17.37132
-152.902067,230,17.768996
-13.224951,177,18.06454
-116.23314,130,18.302949
-210.162178,115,18.507596
-50.793348,73,18.628431
-61.135965,72,18.755671
-66.695767,91,20.823
32.669716,128,21.047634
-85.848364,130,21.273224
-89.312535,146,21.532533
-137.705037,115,21.721847
-42.630842,86,21.874528
28.024151,113,22.069184
-70.187061,164,22.348174
7.283456,1000,26.344114
-186.265238,576,29.089592
-93.894191,156,29.354074
-57.260651,231,29.772969
-49.030228,197,32.805681
-41.699512,160,33.092638
3.902121,98,33.2578
-167.739617,468,34.085834
-64.517584,163,34.379304
-36.30347,194,36.621824
-24.1614,141,36.86865
-170.842699,127,37.099534
-81.472425,404,37.828022
1.279756,89,37.983516
1.212601,130,38.2251
-57.999538,209,41.10253
-37.29155,107,41.287691
-23.221991,155,41.558581
-38.574104,133,41.792446
5.427159,107,41.982302
22.456604,186,42.316299
-11.698649,1000,45.95118
-27.279155,187,49.10155
35.715725,217,49.480554
-23.414403,186,49.813304
-33.845389,1000,53.350672
3.205273,1000,58.360165
34.843237,162,58.642794
10.25477,156,58.918752
14.890004,236,59.337223
-56.753336,195,61.589605
20.424574,119,61.797143
28.160697,1000,66.587332
-37.8691,168,66.891103
-15.429501,1000,70.519397
16.525876,1000,75.026307
-0.647856,168,75.320682
26.099644,241,75.752101
-31.936767,285,76.254604
38.514294,1000,79.882759
-28.335967,223,82.814746
-22.875849,1000,86.271801
-4.456007,217,86.656195
6.856525,200,87.014387
-50.137966,231,87.42328
18.713317,1000,92.206138
-269.904826,469,94.744867
33.441536,1000,99.314484
-143.10072,627,100.434654
87.729073,1000,103.906946
35.290698,1000,108.570701
38.516485,1000,112.079584
29.208556,184,112.408869
-208.178778,659,116.578235
-224.003756,514,119.188784
111.699194,1000,123.905188
100.215023,1000,127.400945
126.112808,1000,129.203941
0.616871,272,132.896399
25.043036,160,133.170382
54.828023,1000,136.710982
20.903291,1000,141.913237
111.5782,1000,145.588454
35.031348,236,146.000543
141.210222,1000,150.930947
71.453718,1000,154.579736
4.183077,253,155.026369
136.313038,1000,159.835001
120.034317,1000,163.326305
85.880139,1000,168.247091
69.773503,1000,171.702091
156.354638,1000,176.295566
152.855534,1000,179.839626
112.714494,1000,184.374185
109.646458,1000,188.023041
18.705961,172,188.329692
117.129302,1000,192.84786
117.299423,1000,196.51167
31.712171,213,196.882808
33.511195,255,200.36763
113.552559,1000,204.095438
131.912954,1000,209.098434
94.975936,1000,212.794408
136.75068,1000,217.894624
26.055467,188,218.234299
142.766995,1000,221.81663
130.963967,1000,226.625094
102.673928,1000,230.229707
142.384072,1000,235.136655
153.433171,1000,238.650652
24.234619,223,239.042581
128.547871,1000,243.774731
33.409935,250,244.225948
148.857974,1000,247.656739
58.616317,1000,252.210001
165.242142,1000,255.650303
69.77813,156,255.907403
146.437036,1000,260.453633
135.608429,1000,264.054966
16.832858,211,264.43809
